,predicted indicator,feature indicator,feature importance
14620,wdi-AG.LND.TOTL.K2,wdi2-NY.GDP.MKTP.CN,0.0054113842292107
14621,wdi-AG.LND.TOTL.K2,wdi-AG.SRF.TOTL.K2,0.821197636488686
14622,wdi-AG.LND.TOTL.K2,wdi-EG.ELC.RNEW.ZS,0.0053037006536001
14623,wdi-AG.LND.TOTL.K2,wdi-EN.POP.DNST,0.003973196986392
14624,wdi-AG.LND.TOTL.K2,wdi-EG.ELC.ACCS.ZS,0.0077496483822466
14625,wdi-AG.LND.TOTL.K2,wdi-ER.FSH.CAPT.MT,0.0188152289634281
14626,wdi-AG.LND.TOTL.K2,wdi-ER.FSH.PROD.MT,0.0137723845820463
14627,wdi-AG.LND.TOTL.K2,wdi2-SP.POP.GROW,0.0030293900761682
14628,wdi-AG.LND.TOTL.K2,wdi2-SP.POP.TOTL,0.1130751770299371
14629,wdi-AG.LND.TOTL.K2,wdi2-SH.H2O.BASW.ZS,0.0076722526082846
14630,wdi-AG.SRF.TOTL.K2,wdi2-NY.GDP.MKTP.CN,0.0063914810936227
14631,wdi-AG.SRF.TOTL.K2,wdi-AG.LND.TOTL.K2,0.81448827038697
14632,wdi-AG.SRF.TOTL.K2,wdi-EG.ELC.RNEW.ZS,0.0061655724612214
14633,wdi-AG.SRF.TOTL.K2,wdi-EN.POP.DNST,0.0034714085621868
14634,wdi-AG.SRF.TOTL.K2,wdi-EG.ELC.ACCS.ZS,0.0070610764686132
14635,wdi-AG.SRF.TOTL.K2,wdi-ER.FSH.CAPT.MT,0.0190613289229982
14636,wdi-AG.SRF.TOTL.K2,wdi-ER.FSH.PROD.MT,0.0140495835241486
14637,wdi-AG.SRF.TOTL.K2,wdi2-SP.POP.GROW,0.0040619110950206
14638,wdi-AG.SRF.TOTL.K2,wdi2-SP.POP.TOTL,0.1178249851713987
14639,wdi-AG.SRF.TOTL.K2,wdi2-SH.H2O.BASW.ZS,0.0074243823138194
14640,wdi-EG.ELC.RNEW.ZS,wdi2-NY.GDP.MKTP.CN,0.0840599359264524
14641,wdi-EG.ELC.RNEW.ZS,wdi-AG.LND.TOTL.K2,0.1799606751700782
14642,wdi-EG.ELC.RNEW.ZS,wdi-AG.SRF.TOTL.K2,0.1289858179864791
14643,wdi-EG.ELC.RNEW.ZS,wdi-EN.POP.DNST,0.0923073949865768
14644,wdi-EG.ELC.RNEW.ZS,wdi-EG.ELC.ACCS.ZS,0.082818604675346
14645,wdi-EG.ELC.RNEW.ZS,wdi-ER.FSH.CAPT.MT,0.0655813809038979
14646,wdi-EG.ELC.RNEW.ZS,wdi-ER.FSH.PROD.MT,0.0783841689526085
14647,wdi-EG.ELC.RNEW.ZS,wdi2-SP.POP.GROW,0.1037834387183883
14648,wdi-EG.ELC.RNEW.ZS,wdi2-SP.POP.TOTL,0.0991508320356313
14649,wdi-EG.ELC.RNEW.ZS,wdi2-SH.H2O.BASW.ZS,0.0849677506445411
14650,wdi-EN.POP.DNST,wdi2-NY.GDP.MKTP.CN,0.0353580472787369
14651,wdi-EN.POP.DNST,wdi-AG.LND.TOTL.K2,0.4180836958882684
14652,wdi-EN.POP.DNST,wdi-AG.SRF.TOTL.K2,0.1077583466606212
14653,wdi-EN.POP.DNST,wdi-EG.ELC.RNEW.ZS,0.0403042456380023
14654,wdi-EN.POP.DNST,wdi-EG.ELC.ACCS.ZS,0.0028592530904789
14655,wdi-EN.POP.DNST,wdi-ER.FSH.CAPT.MT,0.0250823499040968
14656,wdi-EN.POP.DNST,wdi-ER.FSH.PROD.MT,0.0235772333919107
14657,wdi-EN.POP.DNST,wdi2-SP.POP.GROW,0.1862480483657102
14658,wdi-EN.POP.DNST,wdi2-SP.POP.TOTL,0.0616152400512264
14659,wdi-EN.POP.DNST,wdi2-SH.H2O.BASW.ZS,0.0991135397309477
14660,wdi-EG.ELC.ACCS.ZS,wdi2-NY.GDP.MKTP.CN,0.0064655425060032
14661,wdi-EG.ELC.ACCS.ZS,wdi-AG.LND.TOTL.K2,0.0056817831231642
14662,wdi-EG.ELC.ACCS.ZS,wdi-AG.SRF.TOTL.K2,0.0052221293277795
14663,wdi-EG.ELC.ACCS.ZS,wdi-EG.ELC.RNEW.ZS,0.0078557651662214
14664,wdi-EG.ELC.ACCS.ZS,wdi-EN.POP.DNST,0.005838357080309
14665,wdi-EG.ELC.ACCS.ZS,wdi-ER.FSH.CAPT.MT,0.0035986108168682
14666,wdi-EG.ELC.ACCS.ZS,wdi-ER.FSH.PROD.MT,0.0033595143524005
14667,wdi-EG.ELC.ACCS.ZS,wdi2-SP.POP.GROW,0.0181323149284504
14668,wdi-EG.ELC.ACCS.ZS,wdi2-SP.POP.TOTL,0.0060501324979382
14669,wdi-EG.ELC.ACCS.ZS,wdi-EG.ELC.ACCS.UR.ZS,0.937795850200865
14670,wdi-ER.FSH.CAPT.MT,wdi2-NY.GDP.MKTP.CN,0.0062378136062257
14671,wdi-ER.FSH.CAPT.MT,wdi-AG.LND.TOTL.K2,0.0343059668488181
14672,wdi-ER.FSH.CAPT.MT,wdi-AG.SRF.TOTL.K2,0.0325541873770044
14673,wdi-ER.FSH.CAPT.MT,wdi-EG.ELC.RNEW.ZS,0.0056343090622965
14674,wdi-ER.FSH.CAPT.MT,wdi-EN.POP.DNST,0.0042420508748149
14675,wdi-ER.FSH.CAPT.MT,wdi-ER.FSH.PROD.MT,0.630531469482735
14676,wdi-ER.FSH.CAPT.MT,wdi-EG.ELC.ACCS.ZS,0.0032816439765404
14677,wdi-ER.FSH.CAPT.MT,wdi2-SH.H2O.BASW.ZS,0.0039718425936227
14678,wdi-ER.FSH.CAPT.MT,wdi2-SP.POP.GROW,0.0043236957804501
14679,wdi-ER.FSH.CAPT.MT,wdi2-SP.POP.TOTL,0.2749170203974916
14680,wdi-ER.FSH.PROD.MT,wdi2-NY.GDP.MKTP.CN,0.0078306724161682
14681,wdi-ER.FSH.PROD.MT,wdi-AG.LND.TOTL.K2,0.0058552793346032
14682,wdi-ER.FSH.PROD.MT,wdi-AG.SRF.TOTL.K2,0.0062372219561968
14683,wdi-ER.FSH.PROD.MT,wdi-EG.ELC.RNEW.ZS,0.0018629736401927
14684,wdi-ER.FSH.PROD.MT,wdi-EN.POP.DNST,0.0027055032655478
14685,wdi-ER.FSH.PROD.MT,wdi-ER.FSH.CAPT.MT,0.9271569763576456
14686,wdi-ER.FSH.PROD.MT,wdi-EG.ELC.ACCS.ZS,0.0054571535674931
14687,wdi-ER.FSH.PROD.MT,wdi2-SH.H2O.BASW.ZS,0.0044510286118007
14688,wdi-ER.FSH.PROD.MT,wdi2-SP.POP.GROW,0.004257915546322
14689,wdi-ER.FSH.PROD.MT,wdi2-SP.POP.TOTL,0.0341852753040295
14690,wdi2-SP.POP.GROW,wdi2-NY.GDP.MKTP.CN,0.057130509913409
14691,wdi2-SP.POP.GROW,wdi-AG.LND.TOTL.K2,0.0357110801396001
14692,wdi2-SP.POP.GROW,wdi-AG.SRF.TOTL.K2,0.0345899047445318
14693,wdi2-SP.POP.GROW,wdi-EG.ELC.RNEW.ZS,0.0687008341965893
14694,wdi2-SP.POP.GROW,wdi-EN.POP.DNST,0.2044926052962042
14695,wdi2-SP.POP.GROW,wdi2-SP.POP.TOTL,0.0574014855957644
14696,wdi2-SP.POP.GROW,wdi-EG.ELC.ACCS.ZS,0.1878259051316919
14697,wdi2-SP.POP.GROW,wdi-ER.FSH.CAPT.MT,0.0520444691757946
14698,wdi2-SP.POP.GROW,wdi-ER.FSH.PROD.MT,0.0527449535721459
14699,wdi2-SP.POP.GROW,wdi2-SH.H2O.BASW.ZS,0.2493582522342683
14700,wdi2-SP.POP.TOTL,wdi2-NY.GDP.MKTP.CN,0.0146994250311762
14701,wdi2-SP.POP.TOTL,wdi-AG.LND.TOTL.K2,0.0570097054796874
14702,wdi2-SP.POP.TOTL,wdi-AG.SRF.TOTL.K2,0.0375642761329902
14703,wdi2-SP.POP.TOTL,wdi-EG.ELC.RNEW.ZS,0.0048246616140209
14704,wdi2-SP.POP.TOTL,wdi-EN.POP.DNST,0.0104010138537309
14705,wdi2-SP.POP.TOTL,wdi2-SP.POP.GROW,0.0030644007528375
14706,wdi2-SP.POP.TOTL,wdi-EG.ELC.ACCS.ZS,0.0034273555868094
14707,wdi2-SP.POP.TOTL,wdi-ER.FSH.CAPT.MT,0.5692092341591023
14708,wdi2-SP.POP.TOTL,wdi-ER.FSH.PROD.MT,0.2957436147611905
14709,wdi2-SP.POP.TOTL,wdi2-SH.H2O.BASW.ZS,0.0040563126284545
