,predicted indicator,feature indicator,feature importance
17460,wdi-AG.LND.TOTL.K2,wdi2-NY.GDP.MKTP.CN,0.0060969816372709
17461,wdi-AG.LND.TOTL.K2,wdi-AG.SRF.TOTL.K2,0.8166350539789977
17462,wdi-AG.LND.TOTL.K2,wdi-EN.POP.DNST,0.0028629768674404
17463,wdi-AG.LND.TOTL.K2,wdi-EG.ELC.ACCS.ZS,0.0090052686936069
17464,wdi-AG.LND.TOTL.K2,wdi2-SP.POP.GROW,0.0043505986461872
17465,wdi-AG.LND.TOTL.K2,wdi2-SP.POP.TOTL,0.1201899592584271
17466,wdi-AG.LND.TOTL.K2,wdi-EG.ELC.ACCS.UR.ZS,0.0068514635833958
17467,wdi-AG.LND.TOTL.K2,wdi-ER.FSH.CAPT.MT,0.0159626365206071
17468,wdi-AG.LND.TOTL.K2,wdi-ER.FSH.PROD.MT,0.0129428195341185
17469,wdi-AG.LND.TOTL.K2,wdi-IT.NET.SECR.P6,0.0051022412799477
17470,wdi-AG.SRF.TOTL.K2,wdi2-NY.GDP.MKTP.CN,0.0064612793892732
17471,wdi-AG.SRF.TOTL.K2,wdi-AG.LND.TOTL.K2,0.8123801906937139
17472,wdi-AG.SRF.TOTL.K2,wdi-EN.POP.DNST,0.003229094916744
17473,wdi-AG.SRF.TOTL.K2,wdi-EG.ELC.ACCS.ZS,0.0085824762868023
17474,wdi-AG.SRF.TOTL.K2,wdi2-SP.POP.GROW,0.0040749561906835
17475,wdi-AG.SRF.TOTL.K2,wdi2-SP.POP.TOTL,0.1197732109714024
17476,wdi-AG.SRF.TOTL.K2,wdi-EG.ELC.ACCS.UR.ZS,0.008743366429719
17477,wdi-AG.SRF.TOTL.K2,wdi-ER.FSH.CAPT.MT,0.0134475110461485
17478,wdi-AG.SRF.TOTL.K2,wdi-ER.FSH.PROD.MT,0.0173286547827958
17479,wdi-AG.SRF.TOTL.K2,wdi-IT.NET.SECR.P6,0.005979259292717
17480,wdi-EN.POP.DNST,wdi2-NY.GDP.MKTP.CN,0.078170193136544
17481,wdi-EN.POP.DNST,wdi-AG.LND.TOTL.K2,0.3806079108157521
17482,wdi-EN.POP.DNST,wdi-AG.SRF.TOTL.K2,0.0793560449251796
17483,wdi-EN.POP.DNST,wdi-EG.ELC.ACCS.ZS,0.005365305111577
17484,wdi-EN.POP.DNST,wdi2-SP.POP.GROW,0.0953054947492456
17485,wdi-EN.POP.DNST,wdi2-SP.POP.TOTL,0.1224555997085542
17486,wdi-EN.POP.DNST,wdi-EG.ELC.ACCS.UR.ZS,0.0064846584023004
17487,wdi-EN.POP.DNST,wdi-ER.FSH.CAPT.MT,0.0355023070691323
17488,wdi-EN.POP.DNST,wdi-ER.FSH.PROD.MT,0.0223631389846132
17489,wdi-EN.POP.DNST,wdi-IT.NET.SECR.P6,0.1743893470971012
17490,wdi-EG.ELC.ACCS.ZS,wdi2-NY.GDP.MKTP.CN,0.009157450063194
17491,wdi-EG.ELC.ACCS.ZS,wdi-AG.LND.TOTL.K2,0.0032381007207017
17492,wdi-EG.ELC.ACCS.ZS,wdi-AG.SRF.TOTL.K2,0.0030208828793727
17493,wdi-EG.ELC.ACCS.ZS,wdi-EN.POP.DNST,0.0063290863032471
17494,wdi-EG.ELC.ACCS.ZS,wdi2-SP.POP.GROW,0.0245374220964925
17495,wdi-EG.ELC.ACCS.ZS,wdi2-SP.POP.TOTL,0.0130019358665484
17496,wdi-EG.ELC.ACCS.ZS,wdi-EG.ELC.ACCS.UR.ZS,0.9053028607130016
17497,wdi-EG.ELC.ACCS.ZS,wdi-ER.FSH.CAPT.MT,0.0023291750513532
17498,wdi-EG.ELC.ACCS.ZS,wdi-ER.FSH.PROD.MT,0.0031687853066591
17499,wdi-EG.ELC.ACCS.ZS,wdi-IT.NET.SECR.P6,0.0299143009994293
17500,wdi2-SP.POP.GROW,wdi2-NY.GDP.MKTP.CN,0.0097411112971918
17501,wdi2-SP.POP.GROW,wdi-AG.LND.TOTL.K2,0.0052793896344648
17502,wdi2-SP.POP.GROW,wdi-AG.SRF.TOTL.K2,0.0062008129487382
17503,wdi2-SP.POP.GROW,wdi-EN.POP.DNST,0.0206318442399305
17504,wdi2-SP.POP.GROW,wdi2-SP.POP.TOTL,0.0074239315143468
17505,wdi2-SP.POP.GROW,wdi-EG.ELC.ACCS.ZS,0.0213646541219097
17506,wdi2-SP.POP.GROW,wdi2-SP.RUR.TOTL,0.01216367313509
17507,wdi2-SP.POP.GROW,wdi2-SP.RUR.TOTL.ZS,0.0236680041730132
17508,wdi2-SP.POP.GROW,wdi2-SP.URB.GROW,0.8851953078018163
17509,wdi2-SP.POP.GROW,wdi2-SP.URB.TOTL,0.0083312711334982
17510,wdi2-SP.POP.TOTL,wdi2-NY.GDP.MKTP.CN,0.0093464058100079
17511,wdi2-SP.POP.TOTL,wdi-AG.LND.TOTL.K2,0.0322828668056675
17512,wdi2-SP.POP.TOTL,wdi-AG.SRF.TOTL.K2,0.045667094402302
