,Unnamed: 0,model,year,target,predictor,values
63,492076,etr,2020,wdi2-TX.VAL.MRCH.WL.CD,wdi2-TX.VAL.MRCH.CD.WT,0.068956912689135
64,491956,etr,2020,wdi2-TX.VAL.MRCH.WL.CD,wdi-BM.GSR.TOTL.CD,0.0685142459348871
65,492066,etr,2020,wdi2-TX.VAL.MRCH.WL.CD,wdi2-TM.VAL.MRCH.CD.WT,0.0590402635394157
66,491952,etr,2020,wdi2-TX.VAL.MRCH.WL.CD,wdi-BM.GSR.GNFS.CD,0.0494085122792997
67,492014,etr,2020,wdi2-TX.VAL.MRCH.WL.CD,wdi-IT.MLT.MAIN,0.0492737108166528
68,491977,etr,2020,wdi2-TX.VAL.MRCH.WL.CD,wdi-BX.GSR.MRCH.CD,0.0296676436729958
69,491951,etr,2020,wdi2-TX.VAL.MRCH.WL.CD,wdi-BM.GSR.FCTY.CD,0.0296166744155476
70,491865,etr,2020,wdi2-TX.VAL.MRCH.RS.ZS,wdi-IT.MLT.MAIN.P2,0.0893428183571862
71,491800,etr,2020,wdi2-TX.VAL.MRCH.RS.ZS,wdi-BM.GSR.CMCP.ZS,0.0570037827960171
72,491823,etr,2020,wdi2-TX.VAL.MRCH.RS.ZS,wdi-BX.GSR.CMCP.ZS,0.0503143052424095
73,491922,etr,2020,wdi2-TX.VAL.MRCH.RS.ZS,wdi2-TM.VAL.OTHR.ZS.WT,0.0439527307983309
74,491901,etr,2020,wdi2-TX.VAL.MRCH.RS.ZS,wdi2-SE.SEC.DURS,0.0424191958159294
75,491803,etr,2020,wdi2-TX.VAL.MRCH.RS.ZS,wdi-BM.GSR.INSF.ZS,0.0409883935616007
76,491915,etr,2020,wdi2-TX.VAL.MRCH.RS.ZS,wdi2-TM.VAL.INSF.ZS.WT,0.0370393592365945
77,491807,etr,2020,wdi2-TX.VAL.MRCH.RS.ZS,wdi-BM.GSR.TRAN.ZS,0.0341534596807624
78,491900,etr,2020,wdi2-TX.VAL.MRCH.RS.ZS,wdi2-SE.SEC.AGES,0.034087466912916
79,491924,etr,2020,wdi2-TX.VAL.MRCH.RS.ZS,wdi2-TM.VAL.TRAN.ZS.WT,0.0339365937993209
80,491749,etr,2020,wdi2-TX.VAL.MRCH.R6.ZS,wdi2-SE.SEC.AGES,0.0849864248446974
81,491751,etr,2020,wdi2-TX.VAL.MRCH.R6.ZS,wdi2-SP.DYN.CBRT.IN,0.0569683774051959
82,491712,etr,2020,wdi2-TX.VAL.MRCH.R6.ZS,wdi-IT.CEL.SETS.P2,0.0515212734595614
83,491636,etr,2020,wdi2-TX.VAL.MRCH.R6.ZS,key-wdi-IT.CEL.SETS.P2,0.048891993570748
84,491699,etr,2020,wdi2-TX.VAL.MRCH.R6.ZS,wdi-EN.ATM.CO2E.SF.ZS,0.0345766886575512
85,491718,etr,2020,wdi2-TX.VAL.MRCH.R6.ZS,wdi2-NY.ADJ.DKAP.GN.ZS,0.0324069992365131
86,491744,etr,2020,wdi2-TX.VAL.MRCH.R6.ZS,wdi2-PA.NUS.FCRF,0.0288063431326652
87,491743,etr,2020,wdi2-TX.VAL.MRCH.R6.ZS,wdi2-PA.NUS.ATLS,0.0262717979595462
88,491725,etr,2020,wdi2-TX.VAL.MRCH.R6.ZS,wdi2-NY.GDP.FRST.RT.ZS,0.0225301783529205
89,491738,etr,2020,wdi2-TX.VAL.MRCH.R6.ZS,wdi2-NY.GNP.MKTP.CD,0.0219896832998704
90,491594,etr,2020,wdi2-TX.VAL.MRCH.R3.ZS,wdi2-SE.PRM.AGES,0.2246372593594787
91,491599,etr,2020,wdi2-TX.VAL.MRCH.R3.ZS,wdi2-SE.SEC.DURS,0.1238754736383013
92,491605,etr,2020,wdi2-TX.VAL.MRCH.R3.ZS,wdi2-SP.POP.GROW,0.079793643015468
93,491626,etr,2020,wdi2-TX.VAL.MRCH.R3.ZS,wdi2-TX.VAL.MRCH.RS.ZS,0.0345193635798481
94,491625,etr,2020,wdi2-TX.VAL.MRCH.R3.ZS,wdi2-TX.VAL.MRCH.HI.ZS,0.0248575127322218
95,491601,etr,2020,wdi2-TX.VAL.MRCH.R3.ZS,wdi2-SP.DYN.CDRT.IN,0.0224240837187631
96,491628,etr,2020,wdi2-TX.VAL.MRCH.R3.ZS,wdi2-TX.VAL.OTHR.ZS.WT,0.0182738270528546
97,491558,etr,2020,wdi2-TX.VAL.MRCH.R3.ZS,wdi-ER.FSH.CAPT.MT,0.0151153487971697
98,491493,etr,2020,wdi2-TX.VAL.MRCH.R3.ZS,wdi-AG.LND.ARBL.HA,0.0150686370884393
99,491559,etr,2020,wdi2-TX.VAL.MRCH.R3.ZS,wdi-ER.FSH.PROD.MT,0.0141644013229398
100,491474,etr,2020,wdi2-TX.VAL.MRCH.R1.ZS,wdi2-TX.VAL.MRCH.HI.ZS,0.2430463172897303
101,491466,etr,2020,wdi2-TX.VAL.MRCH.R1.ZS,wdi2-TM.VAL.MRCH.R1.ZS,0.2347455209060385
102,491450,etr,2020,wdi2-TX.VAL.MRCH.R1.ZS,wdi2-SP.DYN.CDRT.IN,0.0352439895942187
103,491344,etr,2020,wdi2-TX.VAL.MRCH.R1.ZS,wdi-AG.LND.ARBL.ZS,0.0254858870645469
104,491448,etr,2020,wdi2-TX.VAL.MRCH.R1.ZS,wdi2-SE.SEC.DURS,0.0251277706673307
105,491434,etr,2020,wdi2-TX.VAL.MRCH.R1.ZS,wdi2-NY.GDP.PCAP.KN,0.0181632732803532
106,491438,etr,2020,wdi2-TX.VAL.MRCH.R1.ZS,wdi2-NY.GNP.PCAP.CN,0.0153738183737642
107,491458,etr,2020,wdi2-TX.VAL.MRCH.R1.ZS,wdi2-SP.URB.GROW,0.0149812865426177
108,491408,etr,2020,wdi2-TX.VAL.MRCH.R1.ZS,wdi-ER.FSH.PROD.MT,0.0143731337263461
109,491333,etr,2020,wdi2-TX.VAL.MRCH.R1.ZS,key-wdi-ER.FSH.CAPT.MT,0.0141828579862934
110,491291,etr,2020,wdi2-TX.VAL.MRCH.OR.ZS,wdi2-PA.NUS.FCRF,0.1378300499888763
111,491290,etr,2020,wdi2-TX.VAL.MRCH.OR.ZS,wdi2-PA.NUS.ATLS,0.1144259070787103
112,491255,etr,2020,wdi2-TX.VAL.MRCH.OR.ZS,wdi-EN.POP.DNST,0.0756826042919789
113,491301,etr,2020,wdi2-TX.VAL.MRCH.OR.ZS,wdi2-SP.DYN.LE00.IN,0.050925911845243
114,491302,etr,2020,wdi2-TX.VAL.MRCH.OR.ZS,wdi2-SP.DYN.LE00.MA.IN,0.0434423522366997
115,491323,etr,2020,wdi2-TX.VAL.MRCH.OR.ZS,wdi2-TX.VAL.MRCH.HI.ZS,0.0347931793703284
116,491281,etr,2020,wdi2-TX.VAL.MRCH.OR.ZS,wdi2-NY.GDP.PCAP.KD,0.0318133268851457
117,491314,etr,2020,wdi2-TX.VAL.MRCH.OR.ZS,wdi2-TM.VAL.MRCH.OR.ZS,0.0251867377454269
118,491279,etr,2020,wdi2-TX.VAL.MRCH.OR.ZS,wdi2-NY.GDP.PCAP.CD,0.0235817448793553
119,491187,etr,2020,wdi2-TX.VAL.MRCH.OR.ZS,key-wdi2-NY.GDP.PCAP.CD,0.0219406965849381
120,491122,etr,2020,wdi2-TX.VAL.MRCH.HI.ZS,wdi2-NY.GDP.FRST.RT.ZS,0.243598879304472
121,491148,etr,2020,wdi2-TX.VAL.MRCH.HI.ZS,wdi2-SP.DYN.CBRT.IN,0.0345636827023097
122,491152,etr,2020,wdi2-TX.VAL.MRCH.HI.ZS,wdi2-SP.DYN.LE00.MA.IN,0.0307658523279065
