,predicted indicator,feature indicator,feature importance
0,ssi-enwi,ssi-10,0.0320408799163825
1,ssi-enwi,ssi-t,0.0348007194439474
2,ssi-enwi,ssi-ssi,0.01941215385273925
3,ssi-enwi,ssi-ce,0.3686590155026605
4,ssi-enwi,ssi-9,0.025860674442548567
5,ssi-enwi,ssi-14,0.3262037231027164
6,ssi-enwi,ssi-15,0.044917936153468105
7,ssi-enwi,ssi-6,0.04578115437857882
8,ssi-enwi,ssi-nr,0.08496037829175253
9,ssi-enwi,ssi-11,0.01736336491520593
0,ssi-ssi,ssi-4,0.013015397252417224
1,ssi-ssi,ssi-e,0.524334947518068
2,ssi-ssi,ssi-bn,0.2656200097379307
3,ssi-ssi,ssi-6,0.020570989140040893
4,ssi-ssi,ssi-5,0.024550029398673078
5,ssi-ssi,ssi-18,0.022010690622567886
6,ssi-ssi,ssi-7,0.022954832379482336
7,ssi-ssi,ssi-ce,0.03512951344770175
8,ssi-ssi,ssi-13,0.02675829441217461
9,ssi-ssi,ssi-15,0.045055296090943636
0,ssi-8,ssi-hwi,0.7582452518877111
1,ssi-8,ssi-1,0.029764261213714168
2,ssi-8,ssi-e,0.018574648173666417
3,ssi-8,ssi-10,0.05427402468425876
4,ssi-8,ssi-3,0.019033993797956006
5,ssi-8,ssi-17,0.02291090321925371
6,ssi-8,ssi-2,0.017612918489853423
7,ssi-8,ssi-20,0.024611190297764228
8,ssi-8,ssi-ssi,0.03528713322304323
9,ssi-8,ssi-5,0.01968567501277908
0,ssi-ecwi,ssi-20,0.016641564690645674
1,ssi-ecwi,ssi-ssi,0.5667854245855984
2,ssi-ecwi,ssi-11,0.03402553971473446
3,ssi-ecwi,ssi-t,0.12004103335114637
4,ssi-ecwi,ssi-4,0.04023762816831906
5,ssi-ecwi,ssi-pdh,0.06281170013819487
6,ssi-ecwi,ssi-17,0.024912553246888305
7,ssi-ecwi,ssi-1,0.027456448399236746
8,ssi-ecwi,ssi-2,0.07105310293628987
9,ssi-ecwi,ssi-nr,0.03603500476894608
0,ssi-hwi,ssi-e,0.005097582525779891
1,ssi-hwi,ssi-6,0.016123117001275316
2,ssi-hwi,ssi-9,0.02692568855356306
3,ssi-hwi,ssi-ssi,0.034830664168582555
4,ssi-hwi,ssi-5,0.02584077610640722
5,ssi-hwi,ssi-wbs,0.7876040281630567
6,ssi-hwi,ssi-1,0.015123549911047295
7,ssi-hwi,ssi-pdh,0.016379627172299644
8,ssi-hwi,ssi-11,0.015239741007574746
9,ssi-hwi,ssi-18,0.056835225390413406
0,ssi-wbs,ssi-3,0.02299461943605391
1,ssi-wbs,ssi-ssi,0.012835418615435058
2,ssi-wbs,ssi-10,0.006551828790756929
3,ssi-wbs,ssi-pdh,0.011701989619184441
4,ssi-wbs,ssi-20,0.0042764840141942696
5,ssi-wbs,ssi-7,0.005681011208621048
6,ssi-wbs,ssi-9,0.07853963297930146
7,ssi-wbs,ssi-16,0.0011770889836390114
8,ssi-wbs,ssi-bn,0.028722991745365162
9,ssi-wbs,ssi-8,0.8275189346074487
0,ssi-10,ssi-7,0.042344537895728264
1,ssi-10,ssi-hwi,0.053821239376788996
2,ssi-10,ssi-bn,0.015813850487540488
3,ssi-10,ssi-nr,0.6167730755354421
4,ssi-10,ssi-pdh,0.041355959252734296
5,ssi-10,ssi-1,0.07081806483723889
6,ssi-10,ssi-9,0.049146640256008324
7,ssi-10,ssi-14,0.04785044387880387
8,ssi-10,ssi-3,0.03979073269394016
9,ssi-10,ssi-2,0.02228545578577454
0,ssi-13,ssi-16,0.0006066624186056699
1,ssi-13,ssi-19,0.32810819014432036
2,ssi-13,ssi-9,0.22032531306554648
3,ssi-13,ssi-e,0.14466728701939963
4,ssi-13,ssi-2,0.072789614546228
5,ssi-13,ssi-20,0.02302981482667482
6,ssi-13,ssi-8,0.009510621885979507
7,ssi-13,ssi-t,0.015029118634905688
8,ssi-13,ssi-18,0.10121857957073195
9,ssi-13,ssi-hwi,0.08471479788760784
0,ssi-9,ssi-pdh,0.06623536044500095
1,ssi-9,ssi-3,0.010524962195349291
2,ssi-9,ssi-19,0.08274843720059652
3,ssi-9,ssi-wbs,0.5756515019068889
4,ssi-9,ssi-18,0.03637792161138179
5,ssi-9,ssi-ssi,0.02735975603340033
6,ssi-9,ssi-bn,0.039263628518579716
7,ssi-9,ssi-15,0.05794903505288659
8,ssi-9,ssi-5,0.07839421101862264
9,ssi-9,ssi-e,0.025495186017293482
0,ssi-ce,ssi-enwi,0.6299503136484539
1,ssi-ce,ssi-8,0.007163082499465523
2,ssi-ce,ssi-2,0.00752296610026676
3,ssi-ce,ssi-14,0.21397942559519847
4,ssi-ce,ssi-t,0.012670637019261143
5,ssi-ce,ssi-16,0.08398155851932707
6,ssi-ce,ssi-nr,0.006962565057109699
7,ssi-ce,ssi-10,0.008121096170727142
8,ssi-ce,ssi-e,0.018618120754650157
9,ssi-ce,ssi-11,0.011030234635540164
0,ssi-e,ssi-3,0.009322428824701693
1,ssi-e,ssi-19,0.72012906648009
2,ssi-e,ssi-9,0.006652144101678273
3,ssi-e,ssi-18,0.027260947867840085
4,ssi-e,ssi-ecwi,0.16143264563456144
5,ssi-e,ssi-t,0.009918003877739518
6,ssi-e,ssi-13,0.021908240432271426
7,ssi-e,ssi-11,0.007355846089023587
8,ssi-e,ssi-nr,0.015601531146775097
9,ssi-e,ssi-2,0.020419145545318786
0,ssi-nr,ssi-enwi,0.1317108603094657
1,ssi-nr,ssi-12,0.07036079031891027
2,ssi-nr,ssi-hwi,0.021639988806321807
3,ssi-nr,ssi-20,0.028745588386408984
4,ssi-nr,ssi-21,0.028242044918070308
5,ssi-nr,ssi-19,0.02313458897115193
6,ssi-nr,ssi-e,0.01311662786657589
7,ssi-nr,ssi-10,0.6501098539458267
8,ssi-nr,ssi-18,0.015651551906286924
9,ssi-nr,ssi-ecwi,0.017288104570981757
0,ssi-16,ssi-t,0.22953347711975444
1,ssi-16,ssi-12,0.4805115854079552
2,ssi-16,ssi-18,0.006230005013146669
3,ssi-16,ssi-ce,0.1122236145366201
4,ssi-16,ssi-2,0.00563396488070808
5,ssi-16,ssi-3,0.0034692808965860957
6,ssi-16,ssi-9,0.010190572621817042
7,ssi-16,ssi-nr,0.14261972311990526
8,ssi-16,ssi-13,0.004541690721067603
9,ssi-16,ssi-4,0.005046085682439629
0,ssi-19,ssi-wbs,0.03411044695193449
1,ssi-19,ssi-pdh,0.017089562538252032
2,ssi-19,ssi-ce,0.03789690231015715
3,ssi-19,ssi-2,0.09118914807985448
4,ssi-19,ssi-ecwi,0.07291853961409651
5,ssi-19,ssi-ssi,0.2857920132616947
6,ssi-19,ssi-12,0.025727038412931422
7,ssi-19,ssi-5,0.36613569210408053
8,ssi-19,ssi-3,0.0530446763756399
9,ssi-19,ssi-17,0.016095980351358875
0,ssi-14,ssi-enwi,0.19091767225901607
1,ssi-14,ssi-ce,0.5364578280599813
2,ssi-14,ssi-e,0.025661481761428614
3,ssi-14,ssi-20,0.025886210926326127
4,ssi-14,ssi-8,0.04484718118238111
5,ssi-14,ssi-15,0.06791374563280235
6,ssi-14,ssi-3,0.047055672380899895
7,ssi-14,ssi-1,0.012869953605954545
8,ssi-14,ssi-21,0.02383606149015632
9,ssi-14,ssi-19,0.024554192701053565
0,ssi-bn,ssi-wbs,0.21606273140618582
1,ssi-bn,ssi-e,0.11911929811961909
2,ssi-bn,ssi-11,0.011632578013722254
3,ssi-bn,ssi-pdh,0.040917076424861365
4,ssi-bn,ssi-9,0.3600799216499773
5,ssi-bn,ssi-nr,0.018481142112810472
6,ssi-bn,ssi-20,0.036692412777576205
7,ssi-bn,ssi-16,0.0024397764210798167
8,ssi-bn,ssi-6,0.024144846124366577
9,ssi-bn,ssi-5,0.17043021694980104
0,ssi-2,ssi-5,0.08253581821625425
