,predicted indicator,feature indicator,feature importance
0,hdr-103606,hdr-133006,0.05710123088152182
1,hdr-103606,hdr-71406,0.058837766370978574
2,hdr-103606,hdr-137906,0.07210393345767165
3,hdr-103606,hdr-138806,0.07330721627815473
4,hdr-103606,hdr-43606,0.1713495541109661
5,hdr-103606,hdr-23906,0.08882822967695903
6,hdr-103606,hdr-68606,0.13052928377055575
7,hdr-103606,hdr-177006,0.04422657915504215
8,hdr-103606,hdr-150706,0.1267400146447213
9,hdr-103606,hdr-46006,0.17697619165342895
0,hdr-195706,hdr-101806,0.026712670485681725
1,hdr-195706,hdr-69706,0.11051548817804668
2,hdr-195706,hdr-195906,0.036492396169892145
3,hdr-195706,hdr-185206,0.021947507217252
4,hdr-195706,hdr-194906,0.5988436729130099
5,hdr-195706,hdr-101706,0.015662567042978862
6,hdr-195706,hdr-65606,0.016951398606685184
7,hdr-195706,hdr-103006,0.11072103342634651
8,hdr-195706,hdr-164406,0.05205036573686501
9,hdr-195706,hdr-21806,0.010102900223242154
0,hdr-69706,hdr-31706,0.07316681118060181
1,hdr-69706,hdr-182106,0.05461607552590569
2,hdr-69706,hdr-101806,0.07607165580399751
3,hdr-69706,hdr-150706,0.07264378973851299
4,hdr-69706,hdr-123406,0.19151064616292934
5,hdr-69706,hdr-57206,0.0773462306836092
6,hdr-69706,hdr-121106,0.09367370355837236
7,hdr-69706,hdr-71506,0.08976194323908071
8,hdr-69706,hdr-122006,0.05019222788258257
9,hdr-69706,hdr-123306,0.22101691622440783
0,hdr-103206,hdr-69206,0.9975829751006419
1,hdr-103206,hdr-57206,0.00013867270361751785
2,hdr-103206,hdr-153706,0.00011109443910251309
3,hdr-103206,hdr-150706,0.0002449781677082557
4,hdr-103206,hdr-121206,0.00018353740163917965
5,hdr-103206,hdr-135006,0.00019038383239741033
6,hdr-103206,hdr-103006,0.0003234520067786733
7,hdr-103206,hdr-123606,0.0009349371109262157
8,hdr-103206,hdr-176906,0.00010354198044170138
9,hdr-103206,hdr-68606,0.00018642725674662843
0,hdr-69206,hdr-43606,0.00020865923441703196
1,hdr-69206,hdr-68606,0.00021203420306668735
2,hdr-69206,hdr-101806,0.0004656531975656367
3,hdr-69206,hdr-137906,0.0001484451703424674
4,hdr-69206,hdr-103006,0.00019429696117389823
5,hdr-69206,hdr-24106,0.0001097254402108025
6,hdr-69206,hdr-57906,0.0001552008896545453
7,hdr-69206,hdr-195206,5.89817936607101e-05
8,hdr-69206,hdr-103206,0.9983285821854142
9,hdr-69206,hdr-132806,0.00011842092449394579
0,hdr-103006,hdr-194906,0.22656675989873978
1,hdr-103006,hdr-150606,0.13713497669789732
2,hdr-103006,hdr-123306,0.08351497779116941
3,hdr-103006,hdr-57906,0.09160586105417912
4,hdr-103006,hdr-63306,0.05108141706118096
5,hdr-103006,hdr-112606,0.03981757942798652
6,hdr-103006,hdr-137906,0.06470081713249455
7,hdr-103006,hdr-31706,0.08641782773575288
8,hdr-103006,hdr-23806,0.16775230520459877
9,hdr-103006,hdr-46006,0.05140747799600073
0,hdr-103706,hdr-71406,0.059462457299975416
1,hdr-103706,hdr-136906,0.03813705233117253
2,hdr-103706,hdr-47906,0.02838609780238142
3,hdr-103706,hdr-123306,0.09238558614241359
4,hdr-103706,hdr-69206,0.5839769606698181
5,hdr-103706,hdr-97106,0.020819639281451474
