,predicted indicator,feature indicator,feature importance
0,epi-BHV,epi-MPA,0.09970954569202967
1,epi-BHV,epi-UWD,0.07770182904956544
2,epi-BHV,epi-LCB,0.07942088231876268
3,epi-BHV,epi-NDA,0.045905109673904
4,epi-BHV,epi-BCA,0.03480950243361586
5,epi-BHV,epi-HAD,0.0892613992598581
6,epi-BHV,epi-AIR,0.21016516695885598
7,epi-BHV,epi-GIB,0.03678776847442
8,epi-BHV,epi-HMT,0.17532086993991575
9,epi-BHV,epi-RMS,0.1509179261990724
0,epi-ECO,epi-LCB,0.005639087653068687
1,epi-ECO,epi-EPI,0.7446876838241933
2,epi-ECO,epi-OZD,0.013833219690060145
3,epi-ECO,epi-PBD,0.0419084958431204
4,epi-ECO,epi-UWD,0.04408486956133369
5,epi-ECO,epi-H2O,0.03311914462910551
6,epi-ECO,epi-TBN,0.034805585956301385
7,epi-ECO,epi-MSW,0.05706635602239273
8,epi-ECO,epi-SHI,0.006407204145942995
9,epi-ECO,epi-WTL,0.018448352674481326
0,epi-EPI,epi-ECO,0.6803867913639113
1,epi-EPI,epi-FSS,0.002523715112942497
2,epi-EPI,epi-HMT,0.01300003660386124
3,epi-EPI,epi-H2O,0.1261913019451908
4,epi-EPI,epi-WMG,0.039442722927542334
5,epi-EPI,epi-TBG,0.022813393027839964
6,epi-EPI,epi-GIB,0.007549573812326142
7,epi-EPI,epi-APE,0.012133266690835962
8,epi-EPI,epi-HAD,0.061083053935632015
9,epi-EPI,epi-BHV,0.03487614457991775
0,epi-PAR,epi-BDH,0.06072712369519216
1,epi-PAR,epi-ECO,0.04966238347955615
2,epi-PAR,epi-PMD,0.23298013393532457
3,epi-PAR,epi-SNM,0.07396889354829961
4,epi-PAR,epi-GHP,0.1480186305069919
5,epi-PAR,epi-SHI,0.016760084238795426
6,epi-PAR,epi-EPI,0.25429081775722545
7,epi-PAR,epi-PBD,0.08446543174677873
8,epi-PAR,epi-HMT,0.05080057259611162
9,epi-PAR,epi-CDA,0.028325928495724493
0,epi-TBG,epi-WRS,0.01403819696617399
1,epi-TBG,epi-BHV,0.023778343049927948
2,epi-TBG,epi-CCH,0.0002773021323027991
3,epi-TBG,epi-ECS,0.0011646734217683307
4,epi-TBG,epi-TBN,0.9290208202907397
5,epi-TBG,epi-BDH,0.0011988962469273363
6,epi-TBG,epi-RMS,0.0204943675654097
7,epi-TBG,epi-ECO,0.002071070286308618
8,epi-TBG,epi-EPI,0.001429389280953682
9,epi-TBG,epi-GHP,0.0065269407594875815
0,epi-TBN,epi-CHA,0.00151631305255418
1,epi-TBN,epi-PAR,0.00791778996173551
2,epi-TBN,epi-GHP,0.01024509967183058
3,epi-TBN,epi-HAD,0.001764126742641316
4,epi-TBN,epi-ECO,0.005772059289491245
5,epi-TBN,epi-LCB,0.014584846093132074
6,epi-TBN,epi-PBD,0.0038962385095747706
7,epi-TBN,epi-TBG,0.9498402330650887
8,epi-TBN,epi-SHI,0.0003587029123416275
9,epi-TBN,epi-MPA,0.004104590701609944
0,epi-HLT,epi-LCB,0.003945472030097447
1,epi-HLT,epi-TBN,0.017056907525746845
2,epi-HLT,epi-CDA,0.005860368026968276
3,epi-HLT,epi-CHA,0.004923237725961405
4,epi-HLT,epi-GHP,0.047211710855561174
5,epi-HLT,epi-FGT,0.009448702702226537
6,epi-HLT,epi-UWD,0.4556290850431669
7,epi-HLT,epi-AIR,0.231504254336298
8,epi-HLT,epi-MSW,0.1489596175987177
9,epi-HLT,epi-WWT,0.07546064415525562
0,epi-MPA,epi-WMG,0.12235036194003582
1,epi-MPA,epi-FSS,0.03220102007056293
2,epi-MPA,epi-BHV,0.30717921828540196
3,epi-MPA,epi-SNM,0.05308520693478295
4,epi-MPA,epi-ECS,0.05150258836971543
5,epi-MPA,epi-SPI,0.10777526493132315
