,predicted indicator,feature indicator,feature importance
0,unicef-a2,unicef-d11,0.7056009087928822
1,unicef-a2,unicef-wash8,0.0062470422919422815
2,unicef-a2,unicef-wash5,0.004878444508624085
3,unicef-a2,unicef-ch5,0.009143096515315367
4,unicef-a2,unicef-wash3,0.008669567997079979
5,unicef-a2,unicef-mnh1,0.027837179822064597
6,unicef-a2,unicef-wash4,0.01887841200563347
7,unicef-a2,unicef-d13,0.17531347340864567
8,unicef-a2,unicef-m11,0.02396474009362316
9,unicef-a2,unicef-d10,0.019467134564189095
0,unicef-d1,unicef-cm20,0.020510735409622154
1,unicef-d1,unicef-wash22,0.04417342405677894
2,unicef-d1,unicef-cm8,0.06894857684819154
3,unicef-d1,unicef-wash14,0.005045308133513293
4,unicef-d1,unicef-cm13,0.046463434879131085
5,unicef-d1,unicef-d3,0.4775655374917162
6,unicef-d1,unicef-cm5,0.030350892930258007
7,unicef-d1,unicef-cm21,0.18633128972444
8,unicef-d1,unicef-cm18,0.11419179772051646
9,unicef-d1,unicef-a11,0.0064190028058323115
0,unicef-d11,unicef-wash4,0.005257513830621961
1,unicef-d11,unicef-wash9,0.010822701913531315
2,unicef-d11,unicef-m11,0.008831014245391408
3,unicef-d11,unicef-wash3,0.007465334173255359
4,unicef-d11,unicef-wash1,0.02248537133002876
5,unicef-d11,unicef-d13,0.01112529734148547
6,unicef-d11,unicef-ch5,0.008057980776290453
7,unicef-d11,unicef-wash5,0.012463541538860909
8,unicef-d11,unicef-d12,0.9082419351190381
9,unicef-d11,unicef-ah10,0.00524930973149633
0,unicef-d12,unicef-a2,0.940323975642825
1,unicef-d12,unicef-ncwh3,0.0026554524247546078
2,unicef-d12,unicef-d6,0.006723909829093474
3,unicef-d12,unicef-m14,0.006487059279779282
4,unicef-d12,unicef-mnh1,0.006019353997403987
5,unicef-d12,unicef-m3,0.00986959260575888
6,unicef-d12,unicef-wash3,0.004328227604641453
7,unicef-d12,unicef-ch9,0.015302482822518658
8,unicef-d12,unicef-wash8,0.003578419213693798
9,unicef-d12,unicef-wash1,0.004711526579530717
0,unicef-d13,unicef-wash7,0.013843887433776323
1,unicef-d13,unicef-ch5,0.025580003933447427
2,unicef-d13,unicef-mnh1,0.09938156951959955
3,unicef-d13,unicef-m11,0.017412142876620768
4,unicef-d13,unicef-ah10,0.20066739465457473
5,unicef-d13,unicef-wash1,0.03325655404860049
6,unicef-d13,unicef-m7,0.028351387501704857
7,unicef-d13,unicef-d12,0.5286432705257664
8,unicef-d13,unicef-m13,0.00985521361432186
9,unicef-d13,unicef-ncwh3,0.04300857589158757
0,unicef-d14,unicef-wash5,0.07553072523569503
1,unicef-d14,unicef-wash4,0.04534588504503431
2,unicef-d14,unicef-m11,0.07610214242029535
3,unicef-d14,unicef-mnh16,0.22028156756243977
4,unicef-d14,unicef-m2,0.23581290365096905
5,unicef-d14,unicef-ch1,0.07595873166320362
6,unicef-d14,unicef-mnh1,0.08426535664082993
7,unicef-d14,unicef-m15,0.06148807409358945
8,unicef-d14,unicef-d13,0.05714230979940127
9,unicef-d14,unicef-d7,0.06807230388854231
0,unicef-m3,unicef-ch5,0.1543372167206092
1,unicef-m3,unicef-mnh1,0.027103792280174215
2,unicef-m3,unicef-d13,0.07786221973503064
3,unicef-m3,unicef-wash2,0.015412911805978756
4,unicef-m3,unicef-wash1,0.15305279055118529
5,unicef-m3,unicef-ch6,0.020875253929166615
6,unicef-m3,unicef-ncwh3,0.14642376055770717
7,unicef-m3,unicef-d11,0.289656966748495
8,unicef-m3,unicef-m1,0.06460127145308474
9,unicef-m3,unicef-m2,0.05067381621856814
0,unicef-d2,unicef-cm13,0.008112999316308264
1,unicef-d2,unicef-d3,0.6778100583844419
2,unicef-d2,unicef-a11,0.003133747291579147
3,unicef-d2,unicef-cm15,0.006042053537557088
4,unicef-d2,unicef-wash13,0.010671268325508923
5,unicef-d2,unicef-wash16,0.004940641285199442
6,unicef-d2,unicef-wash14,0.010494492420759552
7,unicef-d2,unicef-ah2,0.2456253171474671
8,unicef-d2,unicef-cm5,0.010321027425484746
9,unicef-d2,unicef-cm19,0.02284839486569387
0,unicef-a1,unicef-ch5,0.024722872315226584
1,unicef-a1,unicef-m13,0.004707918159486551
