,model,year,target,names,values
0,rfr,2020,wdi2-SP.POP.GROW,wdi2-NE.DAB.TOTL.CN,0.009993204255737
1,rfr,2020,wdi2-SP.POP.GROW,wdi2-NY.GDY.TOTL.KN,0.0092267045369534
2,rfr,2020,wdi2-SP.POP.GROW,wdi2-SP.POP.TOTL,0.0097803671540322
3,rfr,2020,wdi2-SP.POP.GROW,wdi2-SP.RUR.TOTL,0.0112888485352862
4,rfr,2020,wdi2-SP.POP.GROW,wdi2-SP.RUR.TOTL.ZS,0.0133390708989803
5,rfr,2020,wdi2-SP.POP.GROW,wdi2-SP.URB.GROW,0.9067715072105272
6,rfr,2020,wdi2-SP.POP.GROW,wdi2-SP.URB.TOTL,0.0086046586474452
7,rfr,2020,wdi2-SP.POP.GROW,wdi2-SP.URB.TOTL.IN.ZS,0.0148342297123402
8,rfr,2020,wdi2-SP.POP.GROW,wdi-IT.NET.SECR.P6,0.0124600544273145
9,rfr,2020,wdi2-SP.POP.GROW,wdi2-SE.PRM.DURS,0.0037013546213834
20,rfr,2020,wdi2-SP.POP.TOTL,wdi2-NE.DAB.TOTL.CN,0.0031587445241156
21,rfr,2020,wdi2-SP.POP.TOTL,wdi2-NY.GDY.TOTL.KN,0.0045701693458399
22,rfr,2020,wdi2-SP.POP.TOTL,wdi2-SP.POP.GROW,0.0058217498591259
23,rfr,2020,wdi2-SP.POP.TOTL,wdi2-SP.RUR.TOTL,0.7002584295773402
24,rfr,2020,wdi2-SP.POP.TOTL,wdi2-SP.RUR.TOTL.ZS,0.0027175547394215
25,rfr,2020,wdi2-SP.POP.TOTL,wdi2-SP.URB.GROW,0.0015361980814406
26,rfr,2020,wdi2-SP.POP.TOTL,wdi2-SP.URB.TOTL,0.2703945484910042
27,rfr,2020,wdi2-SP.POP.TOTL,wdi2-SP.URB.TOTL.IN.ZS,0.0050686168370639
28,rfr,2020,wdi2-SP.POP.TOTL,wdi-IT.NET.SECR.P6,0.0063920535765688
29,rfr,2020,wdi2-SP.POP.TOTL,wdi2-SE.PRM.DURS,8.193496807912429e-05
50,rfr,2020,wdi-IT.NET.SECR.P6,wdi2-NE.DAB.TOTL.CN,0.1177034186665814
51,rfr,2020,wdi-IT.NET.SECR.P6,wdi2-NY.GDY.TOTL.KN,0.0608614113770009
52,rfr,2020,wdi-IT.NET.SECR.P6,wdi2-SP.POP.GROW,0.0530072959376241
53,rfr,2020,wdi-IT.NET.SECR.P6,wdi2-SP.POP.TOTL,0.2518936090731882
54,rfr,2020,wdi-IT.NET.SECR.P6,wdi2-SP.RUR.TOTL,0.0404575592896788
55,rfr,2020,wdi-IT.NET.SECR.P6,wdi2-SP.RUR.TOTL.ZS,0.0588320812817086
56,rfr,2020,wdi-IT.NET.SECR.P6,wdi2-SP.URB.GROW,0.0692855304656364
57,rfr,2020,wdi-IT.NET.SECR.P6,wdi2-SP.URB.TOTL,0.1082372579897648
58,rfr,2020,wdi-IT.NET.SECR.P6,wdi2-SP.URB.TOTL.IN.ZS,0.1735398044120215
59,rfr,2020,wdi-IT.NET.SECR.P6,wdi2-SE.PRM.DURS,0.066182031506795
90,rfr,2020,wdi2-SP.RUR.TOTL,wdi2-NE.DAB.TOTL.CN,0.0032421940850131
91,rfr,2020,wdi2-SP.RUR.TOTL,wdi2-NY.GDY.TOTL.KN,0.0130355022404368
92,rfr,2020,wdi2-SP.RUR.TOTL,wdi2-SP.POP.GROW,0.0044614218824448
93,rfr,2020,wdi2-SP.RUR.TOTL,wdi2-SP.POP.TOTL,0.8522300168951552
94,rfr,2020,wdi2-SP.RUR.TOTL,wdi2-SP.RUR.TOTL.ZS,0.0040280539156521
95,rfr,2020,wdi2-SP.RUR.TOTL,wdi2-SP.URB.GROW,0.0028659015868586
96,rfr,2020,wdi2-SP.RUR.TOTL,wdi2-SP.URB.TOTL,0.1109518646921528
97,rfr,2020,wdi2-SP.RUR.TOTL,wdi2-SP.URB.TOTL.IN.ZS,0.0034365065415326
98,rfr,2020,wdi2-SP.RUR.TOTL,wdi-IT.NET.SECR.P6,0.0052070488284785
99,rfr,2020,wdi2-SP.RUR.TOTL,wdi2-SE.PRM.DURS,0.0005414893322749
140,rfr,2020,wdi2-SP.RUR.TOTL.ZS,wdi2-NE.DAB.TOTL.CN,2.942467082399098e-05
141,rfr,2020,wdi2-SP.RUR.TOTL.ZS,wdi2-NE.DAB.TOTL.KN,5.141165903239904e-05
142,rfr,2020,wdi2-SP.RUR.TOTL.ZS,wdi2-SP.POP.GROW,6.621128551657943e-05
143,rfr,2020,wdi2-SP.RUR.TOTL.ZS,wdi2-SP.POP.TOTL,2.9653827630367623e-05
144,rfr,2020,wdi2-SP.RUR.TOTL.ZS,wdi2-SP.RUR.TOTL,0.0001450723801784
145,rfr,2020,wdi2-SP.RUR.TOTL.ZS,wdi2-SP.URB.GROW,4.254694962814832e-05
146,rfr,2020,wdi2-SP.RUR.TOTL.ZS,wdi2-SP.URB.TOTL,4.345044746964594e-05
147,rfr,2020,wdi2-SP.RUR.TOTL.ZS,wdi2-SP.URB.TOTL.IN.ZS,0.9995155563900876
148,rfr,2020,wdi2-SP.RUR.TOTL.ZS,wdi-IT.NET.SECR.P6,5.019252886536828e-05
149,rfr,2020,wdi2-SP.RUR.TOTL.ZS,wdi2-SE.PRM.DURS,2.6479860767497923e-05
200,rfr,2020,wdi2-SP.URB.GROW,wdi2-NE.DAB.TOTL.CN,0.0060294256809748
201,rfr,2020,wdi2-SP.URB.GROW,wdi2-NY.GDY.TOTL.KN,0.0072577895637132
202,rfr,2020,wdi2-SP.URB.GROW,wdi2-SP.POP.GROW,0.9120895367969584
203,rfr,2020,wdi2-SP.URB.GROW,wdi2-SP.POP.TOTL,0.0067442189826649
204,rfr,2020,wdi2-SP.URB.GROW,wdi2-SP.RUR.TOTL,0.0123904454752833
205,rfr,2020,wdi2-SP.URB.GROW,wdi2-SP.RUR.TOTL.ZS,0.0129994333199904
206,rfr,2020,wdi2-SP.URB.GROW,wdi2-SP.URB.TOTL,0.0056193760169467
207,rfr,2020,wdi2-SP.URB.GROW,wdi2-SP.URB.TOTL.IN.ZS,0.0154058234544574
208,rfr,2020,wdi2-SP.URB.GROW,wdi-IT.NET.SECR.P6,0.0189926186769407
209,rfr,2020,wdi2-SP.URB.GROW,wdi2-SE.PRM.DURS,0.0024713320320696
270,rfr,2020,wdi2-SP.URB.TOTL,wdi2-NE.DAB.TOTL.CN,0.0020821453265143
271,rfr,2020,wdi2-SP.URB.TOTL,wdi2-NY.GDY.TOTL.KN,0.0019425802175314
272,rfr,2020,wdi2-SP.URB.TOTL,wdi2-SP.POP.GROW,0.00692599960979
273,rfr,2020,wdi2-SP.URB.TOTL,wdi2-SP.POP.TOTL,0.8019609342597951
274,rfr,2020,wdi2-SP.URB.TOTL,wdi2-SP.RUR.TOTL,0.1634985920985382
275,rfr,2020,wdi2-SP.URB.TOTL,wdi2-SP.RUR.TOTL.ZS,0.0024099683610442
276,rfr,2020,wdi2-SP.URB.TOTL,wdi2-SP.URB.GROW,0.007380700555649
277,rfr,2020,wdi2-SP.URB.TOTL,wdi2-SP.URB.TOTL.IN.ZS,0.0088813925894245
278,rfr,2020,wdi2-SP.URB.TOTL,wdi-IT.NET.SECR.P6,0.004252364880884
279,rfr,2020,wdi2-SP.URB.TOTL,wdi2-SE.PRM.DURS,0.0006653221008289
350,rfr,2020,wdi2-SP.URB.TOTL.IN.ZS,wdi2-NE.DAB.TOTL.CN,3.72517360509325e-05
351,rfr,2020,wdi2-SP.URB.TOTL.IN.ZS,wdi2-NE.DAB.TOTL.KN,4.7988351784073946e-05
352,rfr,2020,wdi2-SP.URB.TOTL.IN.ZS,wdi2-SP.POP.GROW,5.4846968632283896e-05
353,rfr,2020,wdi2-SP.URB.TOTL.IN.ZS,wdi2-SP.POP.TOTL,3.579777002887142e-05
354,rfr,2020,wdi2-SP.URB.TOTL.IN.ZS,wdi2-SP.RUR.TOTL,0.0001480372247756
355,rfr,2020,wdi2-SP.URB.TOTL.IN.ZS,wdi2-SP.RUR.TOTL.ZS,0.9995194990182688
356,rfr,2020,wdi2-SP.URB.TOTL.IN.ZS,wdi2-SP.URB.GROW,4.508809176160565e-05
357,rfr,2020,wdi2-SP.URB.TOTL.IN.ZS,wdi2-SP.URB.TOTL,3.717664965997265e-05
358,rfr,2020,wdi2-SP.URB.TOTL.IN.ZS,wdi-IT.NET.SECR.P6,4.944063292040337e-05
359,rfr,2020,wdi2-SP.URB.TOTL.IN.ZS,wdi2-SE.PRM.DURS,2.48735561174041e-05
440,rfr,2020,wdi2-SE.PRM.DURS,wdi2-NE.DAB.TOTL.CN,0.0885255128080858
441,rfr,2020,wdi2-SE.PRM.DURS,wdi2-NY.GDY.TOTL.KN,0.0777177981814793
442,rfr,2020,wdi2-SE.PRM.DURS,wdi-IT.NET.SECR.P6,0.0987091152092307
443,rfr,2020,wdi2-SE.PRM.DURS,wdi2-SP.POP.GROW,0.1631829089109198
444,rfr,2020,wdi2-SE.PRM.DURS,wdi2-SP.POP.TOTL,0.0981333425593098
445,rfr,2020,wdi2-SE.PRM.DURS,wdi2-SP.RUR.TOTL,0.0782854647383339
446,rfr,2020,wdi2-SE.PRM.DURS,wdi2-SP.RUR.TOTL.ZS,0.0848100197857546
447,rfr,2020,wdi2-SE.PRM.DURS,wdi2-SP.URB.GROW,0.1040944116847722
448,rfr,2020,wdi2-SE.PRM.DURS,wdi2-SP.URB.TOTL,0.1270630207148344
