,predicted indicator,feature indicator,feature importance
35660,key-wdi-AG.SRF.TOTL.K2,wdi2-NY.GDP.MKTP.CN,529484515984.0
35661,key-wdi-AG.SRF.TOTL.K2,wdi-FM.LBL.BMNY.CN,168388238842.0
35662,key-wdi-AG.SRF.TOTL.K2,key-wdi-EN.FSH.THRD.NO,428192964210.8008
35663,key-wdi-AG.SRF.TOTL.K2,key-wdi-ER.FSH.CAPT.MT,1059939504094.0
35664,key-wdi-AG.SRF.TOTL.K2,wdi-AG.LND.TOTL.K2,7741746409032.0
35665,key-wdi-AG.SRF.TOTL.K2,wdi-AG.SRF.TOTL.K2,535332027117.0
35666,key-wdi-AG.SRF.TOTL.K2,wdi-EN.BIR.THRD.NO,707601781308.0
35667,key-wdi-AG.SRF.TOTL.K2,wdi-EN.FSH.THRD.NO,0.0
35668,key-wdi-AG.SRF.TOTL.K2,wdi-EN.HPT.THRD.NO,94580775668.0
35669,key-wdi-AG.SRF.TOTL.K2,wdi-EN.MAM.THRD.NO,1567359679200.0
35670,key-wdi-EN.FSH.THRD.NO,wdi2-NY.GDP.MKTP.CN,149.81772719789296
35671,key-wdi-EN.FSH.THRD.NO,wdi-FM.LBL.BMNY.CN,16.83417899440974
35672,key-wdi-EN.FSH.THRD.NO,key-wdi-AG.SRF.TOTL.K2,107.7252029418014
35673,key-wdi-EN.FSH.THRD.NO,key-wdi-ER.FSH.CAPT.MT,60.466008202172816
35674,key-wdi-EN.FSH.THRD.NO,wdi-AG.LND.TOTL.K2,237.69898644718344
35675,key-wdi-EN.FSH.THRD.NO,wdi-AG.SRF.TOTL.K2,0.0
35676,key-wdi-EN.FSH.THRD.NO,wdi-EN.BIR.THRD.NO,165.1269520688802
35677,key-wdi-EN.FSH.THRD.NO,wdi-EN.FSH.THRD.NO,7267.288132890593
35678,key-wdi-EN.FSH.THRD.NO,wdi-EN.HPT.THRD.NO,366.1806944385171
35679,key-wdi-EN.FSH.THRD.NO,wdi-EN.MAM.THRD.NO,627.395916428417
35680,key-wdi-ER.FSH.CAPT.MT,wdi2-NY.GDP.MKTP.CN,456209854280.0
35681,key-wdi-ER.FSH.CAPT.MT,wdi-FM.LBL.BMNY.CN,824953885748.0
35682,key-wdi-ER.FSH.CAPT.MT,key-wdi-AG.SRF.TOTL.K2,644112642576.0
35683,key-wdi-ER.FSH.CAPT.MT,key-wdi-EN.FSH.THRD.NO,153193031776.0
35684,key-wdi-ER.FSH.CAPT.MT,wdi-AG.LND.TOTL.K2,1275475819556.0
35685,key-wdi-ER.FSH.CAPT.MT,wdi-AG.SRF.TOTL.K2,0.0
35686,key-wdi-ER.FSH.CAPT.MT,wdi-EN.BIR.THRD.NO,3331368598820.0
35687,key-wdi-ER.FSH.CAPT.MT,wdi-EN.FSH.THRD.NO,0.0
35688,key-wdi-ER.FSH.CAPT.MT,wdi-EN.HPT.THRD.NO,657270521308.0
35689,key-wdi-ER.FSH.CAPT.MT,wdi-EN.MAM.THRD.NO,826038635880.0
35690,key-wdi-EG.ELC.ACCS.ZS,wdi2-NY.GDP.MKTP.CN,13.327291150262454
35691,key-wdi-EG.ELC.ACCS.ZS,wdi-FM.LBL.BMNY.CN,5.74088008729107
35692,key-wdi-EG.ELC.ACCS.ZS,key-wdi-AG.SRF.TOTL.K2,2.2069341138835163
35693,key-wdi-EG.ELC.ACCS.ZS,key-wdi-EN.FSH.THRD.NO,6.792741743342411
35694,key-wdi-EG.ELC.ACCS.ZS,key-wdi-ER.FSH.CAPT.MT,5.383373509439821
35695,key-wdi-EG.ELC.ACCS.ZS,wdi-AG.LND.TOTL.K2,4.365131819048302
35696,key-wdi-EG.ELC.ACCS.ZS,wdi-AG.SRF.TOTL.K2,0.0
35697,key-wdi-EG.ELC.ACCS.ZS,wdi-EG.ELC.ACCS.ZS,5133.574127786473
35698,key-wdi-EG.ELC.ACCS.ZS,wdi-EN.BIR.THRD.NO,4.357098486425862
35699,key-wdi-EG.ELC.ACCS.ZS,wdi-EN.FSH.THRD.NO,0.0
35700,key-wdi2-SP.POP.TOTL,wdi2-NY.GDP.MKTP.CN,6241693051109376.0
35701,key-wdi2-SP.POP.TOTL,wdi-FM.LBL.BMNY.CN,1832311640809472.0
35702,key-wdi2-SP.POP.TOTL,key-wdi-AG.SRF.TOTL.K2,1.06557624960896e+16
35703,key-wdi2-SP.POP.TOTL,key-wdi-EN.FSH.THRD.NO,8557837437102080.0
35704,key-wdi2-SP.POP.TOTL,key-wdi-ER.FSH.CAPT.MT,1.7253701310676992e+16
35705,key-wdi2-SP.POP.TOTL,wdi-AG.LND.TOTL.K2,5645637759311872.0
35706,key-wdi2-SP.POP.TOTL,wdi-AG.SRF.TOTL.K2,0.0
