,predicted indicator,feature indicator,feature importance
18520,mvi-wdi-BX.KLT.DINV.WD.GD.ZS,wdi2-NY.GDP.MKTP.CN,38.30671691549651
18521,mvi-wdi-BX.KLT.DINV.WD.GD.ZS,wdi-AG.LND.TOTL.K2,6886.735065039349
18522,mvi-wdi-BX.KLT.DINV.WD.GD.ZS,wdi-AG.SRF.TOTL.K2,757.9356223302602
18523,mvi-wdi-BX.KLT.DINV.WD.GD.ZS,wdi-BX.KLT.DINV.CD.WD,11449.473454507372
18524,mvi-wdi-BX.KLT.DINV.WD.GD.ZS,wdi-BX.KLT.DINV.WD.GD.ZS,1678.091420125027
18525,mvi-wdi-BX.KLT.DINV.WD.GD.ZS,wdi-EG.ELC.ACCS.ZS,10.457962388943995
18526,mvi-wdi-BX.KLT.DINV.WD.GD.ZS,wdi-EN.POP.DNST,27.63209649053169
18527,mvi-wdi-BX.KLT.DINV.WD.GD.ZS,wdi2-NY.GDP.MKTP.CD,22.312275762378704
18528,mvi-wdi-BX.KLT.DINV.WD.GD.ZS,wdi2-NY.GDP.PCAP.CD,1798.4761759165413
18529,mvi-wdi-BX.KLT.DINV.WD.GD.ZS,wdi2-NY.GNP.MKTP.CD,20.850097551534414
19540,mvi-wdi-BX.TRF.PWKR.DT.GD.ZS,wdi2-NY.GDP.MKTP.CN,0.267572804383235
19541,mvi-wdi-BX.TRF.PWKR.DT.GD.ZS,wdi-AG.LND.TOTL.K2,3.50033969496144
19542,mvi-wdi-BX.TRF.PWKR.DT.GD.ZS,wdi-AG.SRF.TOTL.K2,1.1921306998519867
19543,mvi-wdi-BX.TRF.PWKR.DT.GD.ZS,wdi-BX.TRF.PWKR.CD.DT,0.2477490341079828
19544,mvi-wdi-BX.TRF.PWKR.DT.GD.ZS,wdi-BX.TRF.PWKR.DT.GD.ZS,370.74951432287526
19545,mvi-wdi-BX.TRF.PWKR.DT.GD.ZS,wdi-EG.ELC.ACCS.ZS,0.7355724557419308
19546,mvi-wdi-BX.TRF.PWKR.DT.GD.ZS,wdi-EN.POP.DNST,0.8461828116123797
19547,mvi-wdi-BX.TRF.PWKR.DT.GD.ZS,wdi2-NY.GDP.MKTP.CD,0.0241784050886053
19548,mvi-wdi-BX.TRF.PWKR.DT.GD.ZS,wdi2-NY.GDP.PCAP.CD,0.6291872386063915
19549,mvi-wdi-BX.TRF.PWKR.DT.GD.ZS,wdi2-NY.GNP.MKTP.CD,0.0145088257850147
22490,mvi-wdi2-ST.INT.RCPT.XP.ZS,wdi2-NE.DAB.TOTL.CN,298.68628208339214
22491,mvi-wdi2-ST.INT.RCPT.XP.ZS,wdi-AG.LND.TOTL.K2,3677.81342664361
22492,mvi-wdi2-ST.INT.RCPT.XP.ZS,wdi-AG.SRF.TOTL.K2,292.5706296861172
22493,mvi-wdi2-ST.INT.RCPT.XP.ZS,wdi-BM.GSR.FCTY.CD,535.5035496801138
22494,mvi-wdi2-ST.INT.RCPT.XP.ZS,wdi-BX.GSR.FCTY.CD,1600.0476938188076
22495,mvi-wdi2-ST.INT.RCPT.XP.ZS,wdi-BX.KLT.DINV.CD.WD,287.34244522452354
22496,mvi-wdi2-ST.INT.RCPT.XP.ZS,wdi-EG.ELC.ACCS.ZS,82.24737372994423
22497,mvi-wdi2-ST.INT.RCPT.XP.ZS,wdi-EN.POP.DNST,121.66910710930824
22498,mvi-wdi2-ST.INT.RCPT.XP.ZS,wdi-IT.NET.SECR.P6,979.3807323947548
22499,mvi-wdi2-ST.INT.RCPT.XP.ZS,wdi2-SP.POP.GROW,82.4898237735033
