,predicted indicator,feature indicator,feature importance
25590,mvi-wdi-BX.KLT.DINV.WD.GD.ZS,wdi2-NY.GDP.MKTP.CN,57.30190882552415
25591,mvi-wdi-BX.KLT.DINV.WD.GD.ZS,wdi-AG.LND.TOTL.K2,332.3966846498661
25592,mvi-wdi-BX.KLT.DINV.WD.GD.ZS,wdi-AG.SRF.TOTL.K2,1605.8724968796596
25593,mvi-wdi-BX.KLT.DINV.WD.GD.ZS,wdi-BX.KLT.DINV.CD.WD,2245.0816342779435
25594,mvi-wdi-BX.KLT.DINV.WD.GD.ZS,wdi-BX.KLT.DINV.WD.GD.ZS,1354.4919072476914
25595,mvi-wdi-BX.KLT.DINV.WD.GD.ZS,wdi-EG.ELC.ACCS.ZS,15.794092706870288
25596,mvi-wdi-BX.KLT.DINV.WD.GD.ZS,wdi-EN.POP.DNST,816.070236960426
25597,mvi-wdi-BX.KLT.DINV.WD.GD.ZS,wdi2-NY.GDP.MKTP.CD,25.19935772847384
25598,mvi-wdi-BX.KLT.DINV.WD.GD.ZS,wdi2-NY.GDP.PCAP.CD,1846.1775274169631
25599,mvi-wdi-BX.KLT.DINV.WD.GD.ZS,wdi2-NY.GNP.MKTP.CD,23.30959506193176
26860,mvi-wdi-BX.TRF.PWKR.DT.GD.ZS,wdi2-NY.GDP.MKTP.CN,1.599196088325698
26861,mvi-wdi-BX.TRF.PWKR.DT.GD.ZS,wdi-AG.LND.TOTL.K2,3.0104322257684544
26862,mvi-wdi-BX.TRF.PWKR.DT.GD.ZS,wdi-AG.SRF.TOTL.K2,2.187303425278514
26863,mvi-wdi-BX.TRF.PWKR.DT.GD.ZS,wdi-BX.TRF.PWKR.CD.DT,5.004283057234716
26864,mvi-wdi-BX.TRF.PWKR.DT.GD.ZS,wdi-BX.TRF.PWKR.DT.GD.ZS,391.9481816894768
26865,mvi-wdi-BX.TRF.PWKR.DT.GD.ZS,wdi-EG.ELC.ACCS.ZS,2.965022895601578
26866,mvi-wdi-BX.TRF.PWKR.DT.GD.ZS,wdi-EN.POP.DNST,0.6636405685349018
26867,mvi-wdi-BX.TRF.PWKR.DT.GD.ZS,wdi2-NY.GDP.MKTP.CD,5.870225416612811
26868,mvi-wdi-BX.TRF.PWKR.DT.GD.ZS,wdi2-NY.GDP.PCAP.CD,3.162357996683568
26869,mvi-wdi-BX.TRF.PWKR.DT.GD.ZS,wdi2-NY.GNP.MKTP.CD,1.1459671133197844
29660,mvi-wdi2-ST.INT.RCPT.XP.ZS,wdi2-NE.DAB.TOTL.CN,603.0518427565694
29661,mvi-wdi2-ST.INT.RCPT.XP.ZS,wdi-AG.LND.TOTL.K2,3187.334401607513
29662,mvi-wdi2-ST.INT.RCPT.XP.ZS,wdi-AG.SRF.TOTL.K2,402.2813360095024
29663,mvi-wdi2-ST.INT.RCPT.XP.ZS,wdi-BM.GSR.FCTY.CD,334.7191575318575
29664,mvi-wdi2-ST.INT.RCPT.XP.ZS,wdi-BX.GSR.FCTY.CD,2154.203421354294
29665,mvi-wdi2-ST.INT.RCPT.XP.ZS,wdi-BX.KLT.DINV.CD.WD,510.3487463593483
29666,mvi-wdi2-ST.INT.RCPT.XP.ZS,wdi-EG.ELC.ACCS.ZS,26.96310099959373
29667,mvi-wdi2-ST.INT.RCPT.XP.ZS,wdi-EN.POP.DNST,154.29175846278667
29668,mvi-wdi2-ST.INT.RCPT.XP.ZS,wdi-IT.NET.SECR.P6,339.2339468151331
29669,mvi-wdi2-ST.INT.RCPT.XP.ZS,wdi2-SP.POP.GROW,121.77372001111507
