,predicted indicator,feature indicator,feature importance
29000,key-wdi-AG.SRF.TOTL.K2,wdi2-NY.GDP.MKTP.CN,766533671607.5996
29001,key-wdi-AG.SRF.TOTL.K2,wdi-FM.LBL.BMNY.CN,748963196356.0
29002,key-wdi-AG.SRF.TOTL.K2,key-wdi-ER.FSH.CAPT.MT,500711836108.0
29003,key-wdi-AG.SRF.TOTL.K2,wdi-AG.LND.TOTL.K2,7846956373896.0
29004,key-wdi-AG.SRF.TOTL.K2,wdi-AG.SRF.TOTL.K2,528902093426.0
29005,key-wdi-AG.SRF.TOTL.K2,wdi-EN.POP.DNST,466850417332.0
29006,key-wdi-AG.SRF.TOTL.K2,wdi-ER.FSH.CAPT.MT,0.0
29007,key-wdi-AG.SRF.TOTL.K2,wdi-ER.FSH.PROD.MT,2047297186696.0
29008,key-wdi-AG.SRF.TOTL.K2,wdi-IQ.SPI.PIL1,536559606768.0
29009,key-wdi-AG.SRF.TOTL.K2,wdi-IQ.SPI.PIL3,712621512672.0
29010,key-wdi-ER.FSH.CAPT.MT,wdi2-NY.GDP.MKTP.CN,346406291800.0
29011,key-wdi-ER.FSH.CAPT.MT,wdi-FM.LBL.BMNY.CN,617748899648.0
29012,key-wdi-ER.FSH.CAPT.MT,key-wdi-AG.SRF.TOTL.K2,153182634059.0
29013,key-wdi-ER.FSH.CAPT.MT,wdi-AG.LND.TOTL.K2,1043843456010.0
29014,key-wdi-ER.FSH.CAPT.MT,wdi-AG.SRF.TOTL.K2,0.0
29015,key-wdi-ER.FSH.CAPT.MT,wdi-EN.POP.DNST,273120992038.0
29016,key-wdi-ER.FSH.CAPT.MT,wdi-ER.FSH.CAPT.MT,3417955627748.203
29017,key-wdi-ER.FSH.CAPT.MT,wdi-ER.FSH.PROD.MT,3170051263424.4023
29018,key-wdi-ER.FSH.CAPT.MT,wdi-IQ.SPI.PIL1,143459465310.0
29019,key-wdi-ER.FSH.CAPT.MT,wdi-IQ.SPI.PIL3,179055854848.0
29040,key-wdi-EG.ELC.ACCS.ZS,wdi2-NY.GDP.MKTP.CN,10.082886960866745
29041,key-wdi-EG.ELC.ACCS.ZS,wdi-FM.LBL.BMNY.CN,5.1432825151932775
29042,key-wdi-EG.ELC.ACCS.ZS,key-wdi-AG.SRF.TOTL.K2,1.441221262253066
29043,key-wdi-EG.ELC.ACCS.ZS,key-wdi-ER.FSH.CAPT.MT,3.500108708394692
29044,key-wdi-EG.ELC.ACCS.ZS,wdi-AG.LND.TOTL.K2,1.643409314652672
29045,key-wdi-EG.ELC.ACCS.ZS,wdi-AG.SRF.TOTL.K2,0.0
29046,key-wdi-EG.ELC.ACCS.ZS,wdi-EG.ELC.ACCS.ZS,5495.3779410045245
29047,key-wdi-EG.ELC.ACCS.ZS,wdi-EN.POP.DNST,1.890243659586304
29048,key-wdi-EG.ELC.ACCS.ZS,wdi-ER.FSH.CAPT.MT,0.0
29049,key-wdi-EG.ELC.ACCS.ZS,wdi-ER.FSH.PROD.MT,1.2549454611066722
29050,key-wdi2-SP.POP.TOTL,wdi2-NY.GDP.MKTP.CN,6926185623472128.0
29051,key-wdi2-SP.POP.TOTL,wdi-FM.LBL.BMNY.CN,6933833039151104.0
29052,key-wdi2-SP.POP.TOTL,key-wdi-AG.SRF.TOTL.K2,1.7731048640987136e+16
29053,key-wdi2-SP.POP.TOTL,key-wdi-ER.FSH.CAPT.MT,9420792890638336.0
29054,key-wdi2-SP.POP.TOTL,wdi-AG.LND.TOTL.K2,7759495202537472.0
29055,key-wdi2-SP.POP.TOTL,wdi-AG.SRF.TOTL.K2,0.0
29056,key-wdi2-SP.POP.TOTL,wdi-EN.POP.DNST,4294914486509568.0
29057,key-wdi2-SP.POP.TOTL,wdi-ER.FSH.CAPT.MT,0.0
29058,key-wdi2-SP.POP.TOTL,wdi-ER.FSH.PROD.MT,1.6223237158182912e+16
