,predicted indicator,feature indicator,feature importance
14620,wdi-AG.LND.TOTL.K2,wdi2-NY.GDP.MKTP.CN,29314496888556.0
14621,wdi-AG.LND.TOTL.K2,wdi-AG.SRF.TOTL.K2,871796676753354.0
14622,wdi-AG.LND.TOTL.K2,wdi-EG.ELC.RNEW.ZS,64821748956536.0
14623,wdi-AG.LND.TOTL.K2,wdi-EN.POP.DNST,64677338146634.0
14624,wdi-AG.LND.TOTL.K2,wdi-EG.ELC.ACCS.ZS,56845387218712.0
14625,wdi-AG.LND.TOTL.K2,wdi-ER.FSH.CAPT.MT,40406858738298.0
14626,wdi-AG.LND.TOTL.K2,wdi-ER.FSH.PROD.MT,159212971370624.0
14627,wdi-AG.LND.TOTL.K2,wdi2-SP.POP.GROW,28587531352334.0
14628,wdi-AG.LND.TOTL.K2,wdi2-SP.POP.TOTL,153500452896608.0
14629,wdi-AG.LND.TOTL.K2,wdi2-SH.H2O.BASW.ZS,15633635417193.8
14630,wdi-AG.SRF.TOTL.K2,wdi2-NY.GDP.MKTP.CN,34699191023520.0
14631,wdi-AG.SRF.TOTL.K2,wdi-AG.LND.TOTL.K2,955372158026928.0
14632,wdi-AG.SRF.TOTL.K2,wdi-EG.ELC.RNEW.ZS,66240272791924.0
14633,wdi-AG.SRF.TOTL.K2,wdi-EN.POP.DNST,68206158928792.0
14634,wdi-AG.SRF.TOTL.K2,wdi-EG.ELC.ACCS.ZS,58086414562936.0
14635,wdi-AG.SRF.TOTL.K2,wdi-ER.FSH.CAPT.MT,61637934020364.0
14636,wdi-AG.SRF.TOTL.K2,wdi-ER.FSH.PROD.MT,134203178298268.0
14637,wdi-AG.SRF.TOTL.K2,wdi2-SP.POP.GROW,26708299663184.0
14638,wdi-AG.SRF.TOTL.K2,wdi2-SP.POP.TOTL,154582306729856.0
14639,wdi-AG.SRF.TOTL.K2,wdi2-SH.H2O.BASW.ZS,16495513414672.0
14640,wdi-EG.ELC.RNEW.ZS,wdi2-NY.GDP.MKTP.CN,600.0436486117542
14641,wdi-EG.ELC.RNEW.ZS,wdi-AG.LND.TOTL.K2,2199.142103731632
14642,wdi-EG.ELC.RNEW.ZS,wdi-AG.SRF.TOTL.K2,54.626619935035706
14643,wdi-EG.ELC.RNEW.ZS,wdi-EN.POP.DNST,790.5811075046659
14644,wdi-EG.ELC.RNEW.ZS,wdi-EG.ELC.ACCS.ZS,655.0640895366669
14645,wdi-EG.ELC.RNEW.ZS,wdi-ER.FSH.CAPT.MT,320.9172588586807
14646,wdi-EG.ELC.RNEW.ZS,wdi-ER.FSH.PROD.MT,408.60355857014656
14647,wdi-EG.ELC.RNEW.ZS,wdi2-SP.POP.GROW,696.9656226336956
14648,wdi-EG.ELC.RNEW.ZS,wdi2-SP.POP.TOTL,532.8197649866343
14649,wdi-EG.ELC.RNEW.ZS,wdi2-SH.H2O.BASW.ZS,626.6413341574371
14650,wdi-EN.POP.DNST,wdi2-NY.GDP.MKTP.CN,226251.33672332764
14651,wdi-EN.POP.DNST,wdi-AG.LND.TOTL.K2,2605737.576400757
14652,wdi-EN.POP.DNST,wdi-AG.SRF.TOTL.K2,883562.8629760742
14653,wdi-EN.POP.DNST,wdi-EG.ELC.RNEW.ZS,277980.25581741333
14654,wdi-EN.POP.DNST,wdi-EG.ELC.ACCS.ZS,65579.975440979
14655,wdi-EN.POP.DNST,wdi-ER.FSH.CAPT.MT,29703.51941680908
14656,wdi-EN.POP.DNST,wdi-ER.FSH.PROD.MT,42643.823570251465
14657,wdi-EN.POP.DNST,wdi2-SP.POP.GROW,2497914.0359897614
14658,wdi-EN.POP.DNST,wdi2-SP.POP.TOTL,151227.22383117676
14659,wdi-EN.POP.DNST,wdi2-SH.H2O.BASW.ZS,8048058.679031372
14660,wdi-EG.ELC.ACCS.ZS,wdi2-NY.GDP.MKTP.CN,49.23056165315211
14661,wdi-EG.ELC.ACCS.ZS,wdi-AG.LND.TOTL.K2,49.10732277765055
14662,wdi-EG.ELC.ACCS.ZS,wdi-AG.SRF.TOTL.K2,34.266354233026505
14663,wdi-EG.ELC.ACCS.ZS,wdi-EG.ELC.RNEW.ZS,39.50767206799355
14664,wdi-EG.ELC.ACCS.ZS,wdi-EN.POP.DNST,51.303381542209536
14665,wdi-EG.ELC.ACCS.ZS,wdi-ER.FSH.CAPT.MT,9.401766079477966
14666,wdi-EG.ELC.ACCS.ZS,wdi-ER.FSH.PROD.MT,35.14185865060426
14667,wdi-EG.ELC.ACCS.ZS,wdi2-SP.POP.GROW,158.30551363527775
14668,wdi-EG.ELC.ACCS.ZS,wdi2-SP.POP.TOTL,30.68206441393704
14669,wdi-EG.ELC.ACCS.ZS,wdi-EG.ELC.ACCS.UR.ZS,6353.870477152988
14670,wdi-ER.FSH.CAPT.MT,wdi2-NY.GDP.MKTP.CN,26671732508052.0
14671,wdi-ER.FSH.CAPT.MT,wdi-AG.LND.TOTL.K2,167712122127654.0
14672,wdi-ER.FSH.CAPT.MT,wdi-AG.SRF.TOTL.K2,8906468008272.0
14673,wdi-ER.FSH.CAPT.MT,wdi-EG.ELC.RNEW.ZS,50151603860996.0
14674,wdi-ER.FSH.CAPT.MT,wdi-EN.POP.DNST,32011571881188.0
14675,wdi-ER.FSH.CAPT.MT,wdi-ER.FSH.PROD.MT,343388818873105.0
14676,wdi-ER.FSH.CAPT.MT,wdi-EG.ELC.ACCS.ZS,30049936736908.0
14677,wdi-ER.FSH.CAPT.MT,wdi2-SH.H2O.BASW.ZS,15083753117262.0
14678,wdi-ER.FSH.CAPT.MT,wdi2-SP.POP.GROW,19114917896725.0
14679,wdi-ER.FSH.CAPT.MT,wdi2-SP.POP.TOTL,110516674092502.0
