,predicted indicator,feature indicator,feature importance
33700,key-wdi-AG.SRF.TOTL.K2,wdi2-NY.GDP.MKTP.CN,855477468397.0
33701,key-wdi-AG.SRF.TOTL.K2,key-wdi-EG.ELC.RNEW.ZS,809008815474.4004
33702,key-wdi-AG.SRF.TOTL.K2,key-wdi-ER.FSH.CAPT.MT,1789763454929.2002
33703,key-wdi-AG.SRF.TOTL.K2,wdi-AG.LND.TOTL.K2,7351278317831.0
33704,key-wdi-AG.SRF.TOTL.K2,wdi-AG.SRF.TOTL.K2,818722820974.0
33705,key-wdi-AG.SRF.TOTL.K2,wdi-EG.ELC.RNEW.ZS,0.0
33706,key-wdi-AG.SRF.TOTL.K2,wdi-EN.POP.DNST,638407055262.0
33707,key-wdi-AG.SRF.TOTL.K2,wdi-ER.FSH.CAPT.MT,0.0
33708,key-wdi-AG.SRF.TOTL.K2,wdi-ER.FSH.PROD.MT,1360308813076.0
33709,key-wdi-AG.SRF.TOTL.K2,wdi-IQ.SPI.PIL1,168132659156.0
33710,key-wdi-EG.ELC.RNEW.ZS,wdi2-NY.GDP.MKTP.CN,0.7969191080628661
33711,key-wdi-EG.ELC.RNEW.ZS,key-wdi-AG.SRF.TOTL.K2,0.4601340454537421
33712,key-wdi-EG.ELC.RNEW.ZS,key-wdi-ER.FSH.CAPT.MT,0.69807434125687
33713,key-wdi-EG.ELC.RNEW.ZS,wdi-AG.LND.TOTL.K2,0.5067047671182081
33714,key-wdi-EG.ELC.RNEW.ZS,wdi-AG.SRF.TOTL.K2,0.0
33715,key-wdi-EG.ELC.RNEW.ZS,wdi-EG.ELC.RNEW.ZS,9232.51420345402
33716,key-wdi-EG.ELC.RNEW.ZS,wdi-EN.POP.DNST,5.2400409377296455
33717,key-wdi-EG.ELC.RNEW.ZS,wdi-ER.FSH.CAPT.MT,0.0
33718,key-wdi-EG.ELC.RNEW.ZS,wdi-ER.FSH.PROD.MT,0.3283010657160048
33719,key-wdi-EG.ELC.RNEW.ZS,wdi-IQ.SPI.PIL1,1.522933158339583
33720,key-wdi-ER.FSH.CAPT.MT,wdi2-NY.GDP.MKTP.CN,855157076948.0
33721,key-wdi-ER.FSH.CAPT.MT,key-wdi-AG.SRF.TOTL.K2,299539732240.0
33722,key-wdi-ER.FSH.CAPT.MT,key-wdi-EG.ELC.RNEW.ZS,286982401912.0
33723,key-wdi-ER.FSH.CAPT.MT,wdi-AG.LND.TOTL.K2,765392755954.0
33724,key-wdi-ER.FSH.CAPT.MT,wdi-AG.SRF.TOTL.K2,0.0
33725,key-wdi-ER.FSH.CAPT.MT,wdi-EG.ELC.RNEW.ZS,0.0
33726,key-wdi-ER.FSH.CAPT.MT,wdi-EN.POP.DNST,422425472612.0
33727,key-wdi-ER.FSH.CAPT.MT,wdi-ER.FSH.CAPT.MT,3780770018062.0
33728,key-wdi-ER.FSH.CAPT.MT,wdi-ER.FSH.PROD.MT,2295046514224.0
33729,key-wdi-ER.FSH.CAPT.MT,wdi-IQ.SPI.PIL1,146226662168.0
33770,key-wdi-EG.ELC.ACCS.ZS,wdi2-NY.GDP.MKTP.CN,2.0009937001091203
33771,key-wdi-EG.ELC.ACCS.ZS,key-wdi-AG.SRF.TOTL.K2,1.5970491272319125
33772,key-wdi-EG.ELC.ACCS.ZS,key-wdi-EG.ELC.RNEW.ZS,2.6477118910790978
33773,key-wdi-EG.ELC.ACCS.ZS,key-wdi-ER.FSH.CAPT.MT,2.443895791186605
33774,key-wdi-EG.ELC.ACCS.ZS,wdi-AG.LND.TOTL.K2,1.0871648463325982
33775,key-wdi-EG.ELC.ACCS.ZS,wdi-AG.SRF.TOTL.K2,0.0
33776,key-wdi-EG.ELC.ACCS.ZS,wdi-EG.ELC.ACCS.ZS,6705.492195288469
33777,key-wdi-EG.ELC.ACCS.ZS,wdi-EG.ELC.RNEW.ZS,0.0
33778,key-wdi-EG.ELC.ACCS.ZS,wdi-EN.POP.DNST,2.4961942824804737
33779,key-wdi-EG.ELC.ACCS.ZS,wdi-ER.FSH.CAPT.MT,0.0
33780,key-wdi2-SP.POP.TOTL,wdi2-NY.GDP.MKTP.CN,8269936312582144.0
33781,key-wdi2-SP.POP.TOTL,key-wdi-AG.SRF.TOTL.K2,1.4959731599510528e+16
33782,key-wdi2-SP.POP.TOTL,key-wdi-EG.ELC.RNEW.ZS,1858961892917248.0
33783,key-wdi2-SP.POP.TOTL,key-wdi-ER.FSH.CAPT.MT,5191653560565760.0
33784,key-wdi2-SP.POP.TOTL,wdi-AG.LND.TOTL.K2,1.0202492518375424e+16
33785,key-wdi2-SP.POP.TOTL,wdi-AG.SRF.TOTL.K2,0.0
33786,key-wdi2-SP.POP.TOTL,wdi-EG.ELC.RNEW.ZS,0.0
33787,key-wdi2-SP.POP.TOTL,wdi-EN.POP.DNST,8833542767256576.0
33788,key-wdi2-SP.POP.TOTL,wdi-ER.FSH.CAPT.MT,0.0
33789,key-wdi2-SP.POP.TOTL,wdi-ER.FSH.PROD.MT,1.4233992533254144e+16
33840,key-wdi-EG.FEC.RNEW.ZS,wdi2-NY.GDP.MKTP.CN,1.0013751975493506
33841,key-wdi-EG.FEC.RNEW.ZS,key-wdi-AG.SRF.TOTL.K2,1.6058230634080246
33842,key-wdi-EG.FEC.RNEW.ZS,key-wdi-EG.ELC.RNEW.ZS,1.0153336757794025
33843,key-wdi-EG.FEC.RNEW.ZS,key-wdi-ER.FSH.CAPT.MT,0.6808455458376557
33844,key-wdi-EG.FEC.RNEW.ZS,wdi-AG.LND.TOTL.K2,0.2545726639509666
33845,key-wdi-EG.FEC.RNEW.ZS,wdi-AG.SRF.TOTL.K2,0.0
33846,key-wdi-EG.FEC.RNEW.ZS,wdi-EG.ELC.RNEW.ZS,0.0
33847,key-wdi-EG.FEC.RNEW.ZS,wdi-EG.FEC.RNEW.ZS,7659.107296686096
33848,key-wdi-EG.FEC.RNEW.ZS,wdi-EN.POP.DNST,0.3519386462285183
33849,key-wdi-EG.FEC.RNEW.ZS,wdi-ER.FSH.CAPT.MT,0.0
34360,key-wdi2-NY.GDP.MKTP.CD,wdi2-NY.GDP.MKTP.CN,4.68380938966268e+23
34361,key-wdi2-NY.GDP.MKTP.CD,key-wdi-AG.SRF.TOTL.K2,1.4980106442213291e+23
