,predicted indicator,feature indicator,feature importance
22070,wdi-AG.LND.TOTL.K2,wdi2-NY.GDP.MKTP.CN,0.0815881480144936
22071,wdi-AG.LND.TOTL.K2,wdi-AG.SRF.TOTL.K2,0.4283105060549186
22072,wdi-AG.LND.TOTL.K2,wdi-EG.ELC.RNEW.ZS,0.0603169611905956
22073,wdi-AG.LND.TOTL.K2,wdi-EN.POP.DNST,0.06775802592325
22074,wdi-AG.LND.TOTL.K2,wdi-EG.ELC.ACCS.ZS,0.0465372853731183
22075,wdi-AG.LND.TOTL.K2,wdi-ER.FSH.CAPT.MT,0.0472512041156611
22076,wdi-AG.LND.TOTL.K2,wdi-ER.FSH.PROD.MT,0.0478160664702147
22077,wdi-AG.LND.TOTL.K2,wdi2-SP.POP.GROW,0.0606145386179709
22078,wdi-AG.LND.TOTL.K2,wdi2-SP.POP.TOTL,0.0869407779979771
22079,wdi-AG.LND.TOTL.K2,wdi2-SH.H2O.BASW.ZS,0.0728664862417997
22080,wdi-AG.SRF.TOTL.K2,wdi2-NY.GDP.MKTP.CN,0.0879879768341279
22081,wdi-AG.SRF.TOTL.K2,wdi-AG.LND.TOTL.K2,0.409025660146098
22082,wdi-AG.SRF.TOTL.K2,wdi-EG.ELC.RNEW.ZS,0.0672552644225243
22083,wdi-AG.SRF.TOTL.K2,wdi-EN.POP.DNST,0.0747734138308846
22084,wdi-AG.SRF.TOTL.K2,wdi-EG.ELC.ACCS.ZS,0.0430464275696717
22085,wdi-AG.SRF.TOTL.K2,wdi-ER.FSH.CAPT.MT,0.0535400790532481
22086,wdi-AG.SRF.TOTL.K2,wdi-ER.FSH.PROD.MT,0.0454472239526727
22087,wdi-AG.SRF.TOTL.K2,wdi2-SP.POP.GROW,0.062566817994238
22088,wdi-AG.SRF.TOTL.K2,wdi2-SP.POP.TOTL,0.0939962563740798
22089,wdi-AG.SRF.TOTL.K2,wdi2-SH.H2O.BASW.ZS,0.0623608798224545
22090,wdi-EG.ELC.RNEW.ZS,wdi2-NY.GDP.MKTP.CN,0.126226549809801
22091,wdi-EG.ELC.RNEW.ZS,wdi-AG.LND.TOTL.K2,0.0959437049698662
22092,wdi-EG.ELC.RNEW.ZS,wdi-AG.SRF.TOTL.K2,0.0645722402866686
22093,wdi-EG.ELC.RNEW.ZS,wdi-EN.POP.DNST,0.117317901971802
22094,wdi-EG.ELC.RNEW.ZS,wdi-EG.ELC.ACCS.ZS,0.0668648987758682
22095,wdi-EG.ELC.RNEW.ZS,wdi-ER.FSH.CAPT.MT,0.083616375037513
22096,wdi-EG.ELC.RNEW.ZS,wdi-ER.FSH.PROD.MT,0.0909075593790383
22097,wdi-EG.ELC.RNEW.ZS,wdi2-SP.POP.GROW,0.1319020920315077
22098,wdi-EG.ELC.RNEW.ZS,wdi2-SP.POP.TOTL,0.1175003366154087
22099,wdi-EG.ELC.RNEW.ZS,wdi2-SH.H2O.BASW.ZS,0.105148341122526
22100,wdi-EN.POP.DNST,wdi2-NY.GDP.MKTP.CN,0.1042629260373985
22101,wdi-EN.POP.DNST,wdi-AG.LND.TOTL.K2,0.1226316266150423
22102,wdi-EN.POP.DNST,wdi-AG.SRF.TOTL.K2,0.1064393221953111
22103,wdi-EN.POP.DNST,wdi-EG.ELC.RNEW.ZS,0.087403457691514
22104,wdi-EN.POP.DNST,wdi-EG.ELC.ACCS.ZS,0.0713531397055147
22105,wdi-EN.POP.DNST,wdi-ER.FSH.CAPT.MT,0.0791596398675937
22106,wdi-EN.POP.DNST,wdi-ER.FSH.PROD.MT,0.0775067484223042
22107,wdi-EN.POP.DNST,wdi2-SP.POP.GROW,0.1111228758237273
22108,wdi-EN.POP.DNST,wdi2-SP.POP.TOTL,0.1515269691837713
22109,wdi-EN.POP.DNST,wdi2-SH.H2O.BASW.ZS,0.0885932944578225
22110,wdi-EG.ELC.ACCS.ZS,wdi2-NY.GDP.MKTP.CN,0.0843555222195891
22111,wdi-EG.ELC.ACCS.ZS,wdi-AG.LND.TOTL.K2,0.0599023788004725
22112,wdi-EG.ELC.ACCS.ZS,wdi-AG.SRF.TOTL.K2,0.0391431551073244
22113,wdi-EG.ELC.ACCS.ZS,wdi-EG.ELC.RNEW.ZS,0.0806401532231333
22114,wdi-EG.ELC.ACCS.ZS,wdi-EN.POP.DNST,0.080652540959765
22115,wdi-EG.ELC.ACCS.ZS,wdi-ER.FSH.CAPT.MT,0.0555116081209206
22116,wdi-EG.ELC.ACCS.ZS,wdi-ER.FSH.PROD.MT,0.0500714080283255
22117,wdi-EG.ELC.ACCS.ZS,wdi2-SP.POP.GROW,0.082054099242556
22118,wdi-EG.ELC.ACCS.ZS,wdi2-SP.POP.TOTL,0.0637414438649861
22119,wdi-EG.ELC.ACCS.ZS,wdi-EG.ELC.ACCS.UR.ZS,0.4039276904329271
22120,wdi-ER.FSH.CAPT.MT,wdi2-NY.GDP.MKTP.CN,0.1083218084206204
22121,wdi-ER.FSH.CAPT.MT,wdi-AG.LND.TOTL.K2,0.0547738598507829
22122,wdi-ER.FSH.CAPT.MT,wdi-AG.SRF.TOTL.K2,0.0540039181029296
22123,wdi-ER.FSH.CAPT.MT,wdi-EG.ELC.RNEW.ZS,0.0672784700083607
22124,wdi-ER.FSH.CAPT.MT,wdi-EN.POP.DNST,0.0760253139376461
22125,wdi-ER.FSH.CAPT.MT,wdi-ER.FSH.PROD.MT,0.3257154906215128
22126,wdi-ER.FSH.CAPT.MT,wdi-EG.ELC.ACCS.ZS,0.0435470290885022
22127,wdi-ER.FSH.CAPT.MT,wdi2-SH.H2O.BASW.ZS,0.0904391185581194
22128,wdi-ER.FSH.CAPT.MT,wdi2-SP.POP.GROW,0.0884300298118038
22129,wdi-ER.FSH.CAPT.MT,wdi2-SP.POP.TOTL,0.0914649615997217
22130,wdi-ER.FSH.PROD.MT,wdi2-NY.GDP.MKTP.CN,0.0880859460076328
22131,wdi-ER.FSH.PROD.MT,wdi-AG.LND.TOTL.K2,0.0552929340734396
22132,wdi-ER.FSH.PROD.MT,wdi-AG.SRF.TOTL.K2,0.0574126622753441
22133,wdi-ER.FSH.PROD.MT,wdi-EG.ELC.RNEW.ZS,0.083755445460827
22134,wdi-ER.FSH.PROD.MT,wdi-EN.POP.DNST,0.0929275206819275
22135,wdi-ER.FSH.PROD.MT,wdi-ER.FSH.CAPT.MT,0.2900135068544532
22136,wdi-ER.FSH.PROD.MT,wdi-EG.ELC.ACCS.ZS,0.0588058057770468
22137,wdi-ER.FSH.PROD.MT,wdi2-SH.H2O.BASW.ZS,0.0759886545853983
22138,wdi-ER.FSH.PROD.MT,wdi2-SP.POP.GROW,0.083862193340721
22139,wdi-ER.FSH.PROD.MT,wdi2-SP.POP.TOTL,0.1138553309432093
22140,wdi2-SP.POP.GROW,wdi2-NY.GDP.MKTP.CN,0.119788084386228
22141,wdi2-SP.POP.GROW,wdi-AG.LND.TOTL.K2,0.0476385018396538
22142,wdi2-SP.POP.GROW,wdi-AG.SRF.TOTL.K2,0.1266126458412424
22143,wdi2-SP.POP.GROW,wdi-EG.ELC.RNEW.ZS,0.093421574003895
22144,wdi2-SP.POP.GROW,wdi-EN.POP.DNST,0.0959321290485648
22145,wdi2-SP.POP.GROW,wdi2-SP.POP.TOTL,0.1171879018117062
22146,wdi2-SP.POP.GROW,wdi-EG.ELC.ACCS.ZS,0.1976771526320147
22147,wdi2-SP.POP.GROW,wdi-ER.FSH.CAPT.MT,0.035340870820084
22148,wdi2-SP.POP.GROW,wdi-ER.FSH.PROD.MT,0.0593965536245055
22149,wdi2-SP.POP.GROW,wdi2-SH.H2O.BASW.ZS,0.1070045859921051
22150,wdi2-SP.POP.TOTL,wdi2-NY.GDP.MKTP.CN,0.2165018494959189
22151,wdi2-SP.POP.TOTL,wdi-AG.LND.TOTL.K2,0.1388490001386064
