,predicted indicator,feature indicator,feature importance
9120,key-wdi-AG.SRF.TOTL.K2,wdi2-NY.GDP.MKTP.CN,0.1653616582713905
9121,key-wdi-AG.SRF.TOTL.K2,key-wdi-ER.FSH.CAPT.MT,0.0421437473415145
9122,key-wdi-AG.SRF.TOTL.K2,wdi-AG.LND.TOTL.K2,0.1377256207412329
9123,key-wdi-AG.SRF.TOTL.K2,wdi-AG.SRF.TOTL.K2,0.2159949006998197
9124,key-wdi-AG.SRF.TOTL.K2,wdi-EN.POP.DNST,0.1176287228611484
9125,key-wdi-AG.SRF.TOTL.K2,wdi-ER.FSH.CAPT.MT,0.046431257856001
9126,key-wdi-AG.SRF.TOTL.K2,wdi-ER.FSH.PROD.MT,0.0694964443350967
9127,key-wdi-AG.SRF.TOTL.K2,wdi-IQ.SPI.PIL1,0.0596070779347314
9128,key-wdi-AG.SRF.TOTL.K2,wdi-IQ.SPI.PIL3,0.1274075657180809
9129,key-wdi-AG.SRF.TOTL.K2,wdi2-NY.ADJ.DMIN.CD,0.0182030042409834
9130,key-wdi-ER.FSH.CAPT.MT,wdi2-NY.GDP.MKTP.CN,0.1205240153298283
9131,key-wdi-ER.FSH.CAPT.MT,key-wdi-AG.SRF.TOTL.K2,0.0374933005550834
9132,key-wdi-ER.FSH.CAPT.MT,wdi-AG.LND.TOTL.K2,0.0614336465399003
9133,key-wdi-ER.FSH.CAPT.MT,wdi-AG.SRF.TOTL.K2,0.0353565900330446
9134,key-wdi-ER.FSH.CAPT.MT,wdi-EN.POP.DNST,0.0889951680112868
9135,key-wdi-ER.FSH.CAPT.MT,wdi-ER.FSH.CAPT.MT,0.3355459233850913
9136,key-wdi-ER.FSH.CAPT.MT,wdi-ER.FSH.PROD.MT,0.1025044627219117
9137,key-wdi-ER.FSH.CAPT.MT,wdi-IQ.SPI.PIL1,0.0599494090496064
9138,key-wdi-ER.FSH.CAPT.MT,wdi-IQ.SPI.PIL3,0.1508673976819093
9139,key-wdi-ER.FSH.CAPT.MT,wdi2-NY.ADJ.DMIN.CD,0.0073300866923373
9180,key-wdi-EG.ELC.ACCS.ZS,wdi2-NY.GDP.MKTP.CN,0.1110536879928031
9181,key-wdi-EG.ELC.ACCS.ZS,key-wdi-AG.SRF.TOTL.K2,0.0316192858809573
9182,key-wdi-EG.ELC.ACCS.ZS,key-wdi-ER.FSH.CAPT.MT,0.0274104172077055
9183,key-wdi-EG.ELC.ACCS.ZS,wdi-AG.LND.TOTL.K2,0.0337678222724425
9184,key-wdi-EG.ELC.ACCS.ZS,wdi-AG.SRF.TOTL.K2,0.0269948641024324
9185,key-wdi-EG.ELC.ACCS.ZS,wdi-EG.ELC.ACCS.ZS,0.5942980828828437
9186,key-wdi-EG.ELC.ACCS.ZS,wdi-EN.POP.DNST,0.0636674699739536
9187,key-wdi-EG.ELC.ACCS.ZS,wdi-ER.FSH.CAPT.MT,0.0299043344965009
9188,key-wdi-EG.ELC.ACCS.ZS,wdi-ER.FSH.PROD.MT,0.0433632480094242
9189,key-wdi-EG.ELC.ACCS.ZS,wdi-IQ.SPI.PIL1,0.0379207871809365
9190,key-wdi2-SP.POP.TOTL,wdi2-NY.GDP.MKTP.CN,0.1909043071866447
9191,key-wdi2-SP.POP.TOTL,key-wdi-AG.SRF.TOTL.K2,0.0620552430176684
9192,key-wdi2-SP.POP.TOTL,key-wdi-ER.FSH.CAPT.MT,0.0472733295834897
9193,key-wdi2-SP.POP.TOTL,wdi-AG.LND.TOTL.K2,0.1212659931347453
9194,key-wdi2-SP.POP.TOTL,wdi-AG.SRF.TOTL.K2,0.0748165298322431
9195,key-wdi2-SP.POP.TOTL,wdi-EN.POP.DNST,0.1276803842487438
9196,key-wdi2-SP.POP.TOTL,wdi-ER.FSH.CAPT.MT,0.0445921522792212
9197,key-wdi2-SP.POP.TOTL,wdi-ER.FSH.PROD.MT,0.0998679496305259
9198,key-wdi2-SP.POP.TOTL,wdi-IQ.SPI.PIL1,0.073267808885331
9199,key-wdi2-SP.POP.TOTL,wdi-IQ.SPI.PIL3,0.1582763022013864
