,Unnamed: 0,rmse,rmse_deviation,time,year,target,model
0,0,0.3286389216807797,0.2797990592749957,5.227133989334106,2020,wdi2-SP.POP.GROW,etr
2,0,123917656.73438464,0.3903194872454018,5.931235074996948,2020,wdi2-SP.POP.TOTL,etr
5,0,54404.2590013662,0.0734122523966467,6.215235948562622,2020,wdi-IT.NET.SECR.P6,etr
9,0,60209133.03978215,0.4090267230502238,5.531659126281738,2020,wdi2-SP.RUR.TOTL,etr
14,0,0.2390123512980318,0.0060598995525583,5.3455212116241455,2020,wdi2-SP.RUR.TOTL.ZS,etr
20,0,0.4380489500504157,0.2367496915918173,6.119898080825806,2020,wdi2-SP.URB.GROW,etr
27,0,84009549.48310825,0.4866786399368887,7.252295970916748,2020,wdi2-SP.URB.TOTL,etr
35,0,0.2228058892635349,0.0036791926648763,5.578123092651367,2020,wdi2-SP.URB.TOTL.IN.ZS,etr
44,0,0.7059275442169378,0.1217528060705574,5.519302129745483,2020,wdi2-SE.PRM.DURS,etr
54,0,0.7921251999913526,0.0935298471587526,6.16680908203125,2020,wdi2-SP.RUR.TOTL.ZG,etr
65,0,0.5553297762151383,0.0874535080653761,5.156112909317017,2020,wdi2-SE.SEC.DURS,etr
77,0,521927789236.55725,0.8832087617144542,5.684033155441284,2020,wdi2-TM.VAL.MRCH.CD.WT,etr
90,0,503381907882.2369,0.8451846620430022,5.3273749351501465,2020,wdi2-TX.VAL.MRCH.CD.WT,etr
104,0,0.4483421904632745,0.0478889347538261,6.99671196937561,2020,wdi2-SP.POP.0004.FE.5Y,etr
119,0,0.3897004061317302,0.0401899302345,5.602354049682617,2020,wdi2-SP.POP.0004.MA.5Y,etr
135,0,15153008.4320381,0.3344225434800361,5.714617967605591,2020,wdi2-SP.POP.0014.FE.IN,etr
152,0,0.6209172786909429,0.0231175520509471,6.076366901397705,2020,wdi2-SP.POP.0014.FE.ZS,etr
170,0,14409030.04106256,0.2991286855920764,6.047049045562744,2020,wdi2-SP.POP.0014.MA.IN,etr
189,0,1.0369746197305834,0.0372317382170773,5.606340169906616,2020,wdi2-SP.POP.0014.MA.ZS,etr
209,0,28978697.837613605,0.3099956994057097,5.988669872283936,2020,wdi2-SP.POP.0014.TO,etr
230,0,0.5715187555011937,0.0209477841553904,6.77221417427063,2020,wdi2-SP.POP.0014.TO.ZS,etr
252,0,0.2932592507619536,0.032501787867447,7.1383020877838135,2020,wdi2-SP.POP.0509.FE.5Y,etr
275,0,0.3284506261375279,0.035096419782957,6.715103149414063,2020,wdi2-SP.POP.0509.MA.5Y,etr
299,0,0.3897318595759256,0.0459907412227663,8.230679035186768,2020,wdi2-SP.POP.1014.FE.5Y,etr
324,0,0.4760487990910933,0.0541154681073969,5.432044982910156,2020,wdi2-SP.POP.1014.MA.5Y,etr
350,0,0.7144285596841072,0.0910539676703476,5.57108998298645,2020,wdi2-SP.POP.1519.FE.5Y,etr
377,0,0.8300692854592627,0.1018817996501034,7.188568830490112,2020,wdi2-SP.POP.1519.MA.5Y,etr
405,0,41516574.42675924,0.374142976031429,6.540327310562134,2020,wdi2-SP.POP.1564.FE.IN,etr
434,0,2.2739710077535684,0.036158155335439,6.569807767868042,2020,wdi2-SP.POP.1564.FE.ZS,etr
464,0,41220680.34646819,0.3622785876059826,5.697929859161377,2020,wdi2-SP.POP.1564.MA.IN,etr
495,0,2.071892108927728,0.0323492392237266,6.367526054382324,2020,wdi2-SP.POP.1564.MA.ZS,etr
527,0,79542914.2211617,0.3539233105516598,6.392336845397949,2020,wdi2-SP.POP.1564.TO,etr
560,0,2.086800091402141,0.0328509187933211,6.101885318756104,2020,wdi2-SP.POP.1564.TO.ZS,etr
594,0,0.7936473348553091,0.1047164198847276,6.038316011428833,2020,wdi2-SP.POP.2024.FE.5Y,etr
629,0,0.9091748625419638,0.1145997548794266,6.008932113647461,2020,wdi2-SP.POP.2024.MA.5Y,etr
665,0,0.736071825254921,0.097503249378593,6.1547691822052,2020,wdi2-SP.POP.2529.FE.5Y,etr
702,0,1.109558324170851,0.138834751108521,5.228158950805664,2020,wdi2-SP.POP.2529.MA.5Y,etr
740,0,0.8278352350069537,0.1123489918605282,5.5206217765808105,2020,wdi2-SP.POP.3034.FE.5Y,etr
779,0,1.1630826537960028,0.151225890218025,5.414602041244507,2020,wdi2-SP.POP.3034.MA.5Y,etr
819,0,0.714623243766899,0.1047922231096817,5.252386093139648,2020,wdi2-SP.POP.3539.FE.5Y,etr
860,0,0.8717990761279171,0.1254841863358521,6.78174901008606,2020,wdi2-SP.POP.3539.MA.5Y,etr
902,0,0.5913118935364473,0.0969283627724924,5.431439161300659,2020,wdi2-SP.POP.4044.FE.5Y,etr
945,0,0.7652388897449616,0.123874967541235,5.2958900928497314,2020,wdi2-SP.POP.4044.MA.5Y,etr
989,0,0.5528049253786863,0.0980601883261954,5.227231979370117,2020,wdi2-SP.POP.4549.FE.5Y,etr
1034,0,0.6580194384894488,0.1162175595437493,5.081135272979736,2020,wdi2-SP.POP.4549.MA.5Y,etr
1080,0,0.5967311480248126,0.1155846166417547,5.212064981460571,2020,wdi2-SP.POP.5054.FE.5Y,etr
1127,0,0.6131058084181945,0.1204467956496857,5.184390068054199,2020,wdi2-SP.POP.5054.MA.5Y,etr
1175,0,0.63589470668937,0.1339303240742315,5.178630828857422,2020,wdi2-SP.POP.5559.FE.5Y,etr
1224,0,0.5562230998231931,0.1211503606537965,5.210453987121582,2020,wdi2-SP.POP.5559.MA.5Y,etr
1274,0,0.4875726515801258,0.1195409336392591,6.097434997558594,2020,wdi2-SP.POP.6064.FE.5Y,etr
