,Unnamed: 0,model,year,target,names,values
0,0,gbr,2015,wdi-AG.LND.TOTL.K2,wdi2-NY.GDP.MKTP.CN,0.1123928661493225
1,1,gbr,2015,wdi-AG.LND.TOTL.K2,wdi-AG.SRF.TOTL.K2,0.1804319209215103
2,2,gbr,2015,wdi-AG.LND.TOTL.K2,wdi-EG.ELC.RNEW.ZS,0.0837724862018336
3,3,gbr,2015,wdi-AG.LND.TOTL.K2,wdi-EN.POP.DNST,0.0860393999863627
4,4,gbr,2015,wdi-AG.LND.TOTL.K2,wdi-EG.ELC.ACCS.ZS,0.048699401314511
5,5,gbr,2015,wdi-AG.LND.TOTL.K2,wdi-ER.FSH.CAPT.MT,0.0710434992531826
6,6,gbr,2015,wdi-AG.LND.TOTL.K2,wdi-ER.FSH.PROD.MT,0.0659848978553497
7,7,gbr,2015,wdi-AG.LND.TOTL.K2,wdi2-SP.POP.GROW,0.0936897676661934
8,8,gbr,2015,wdi-AG.LND.TOTL.K2,wdi2-SP.POP.TOTL,0.1261723851196213
9,9,gbr,2015,wdi-AG.LND.TOTL.K2,wdi2-SM.POP.TOTL,0.1317733755321123
10,10,gbr,2015,wdi-AG.SRF.TOTL.K2,wdi2-NY.GDP.MKTP.CN,0.116643204874716
11,11,gbr,2015,wdi-AG.SRF.TOTL.K2,wdi-AG.LND.TOTL.K2,0.1653523322146577
12,12,gbr,2015,wdi-AG.SRF.TOTL.K2,wdi-EG.ELC.RNEW.ZS,0.086635521115522
13,13,gbr,2015,wdi-AG.SRF.TOTL.K2,wdi-EN.POP.DNST,0.1017506378231562
14,14,gbr,2015,wdi-AG.SRF.TOTL.K2,wdi-EG.ELC.ACCS.ZS,0.055212267649031
15,15,gbr,2015,wdi-AG.SRF.TOTL.K2,wdi-ER.FSH.CAPT.MT,0.065470821644893
16,16,gbr,2015,wdi-AG.SRF.TOTL.K2,wdi-ER.FSH.PROD.MT,0.0708484972214495
17,17,gbr,2015,wdi-AG.SRF.TOTL.K2,wdi2-SP.POP.GROW,0.0995902002084864
18,18,gbr,2015,wdi-AG.SRF.TOTL.K2,wdi2-SP.POP.TOTL,0.1157889090084256
19,19,gbr,2015,wdi-AG.SRF.TOTL.K2,wdi2-SM.POP.TOTL,0.1227076082396621
20,20,gbr,2015,wdi-EG.ELC.RNEW.ZS,wdi2-NY.GDP.MKTP.CN,0.1296451878524013
21,21,gbr,2015,wdi-EG.ELC.RNEW.ZS,wdi-AG.LND.TOTL.K2,0.0848438491626029
22,22,gbr,2015,wdi-EG.ELC.RNEW.ZS,wdi-AG.SRF.TOTL.K2,0.0708840286437355
23,23,gbr,2015,wdi-EG.ELC.RNEW.ZS,wdi-EN.POP.DNST,0.108349700927613
24,24,gbr,2015,wdi-EG.ELC.RNEW.ZS,wdi-EG.ELC.ACCS.ZS,0.0526780289483415
25,25,gbr,2015,wdi-EG.ELC.RNEW.ZS,wdi-ER.FSH.CAPT.MT,0.0779808052789591
26,26,gbr,2015,wdi-EG.ELC.RNEW.ZS,wdi-ER.FSH.PROD.MT,0.0846752942502092
27,27,gbr,2015,wdi-EG.ELC.RNEW.ZS,wdi2-SP.POP.GROW,0.1143500403455711
28,28,gbr,2015,wdi-EG.ELC.RNEW.ZS,wdi2-SP.POP.TOTL,0.1195968786606049
29,29,gbr,2015,wdi-EG.ELC.RNEW.ZS,wdi2-SM.POP.TOTL,0.1569961859299609
30,30,gbr,2015,wdi-EN.POP.DNST,wdi2-NY.GDP.MKTP.CN,0.1591857512350297
31,31,gbr,2015,wdi-EN.POP.DNST,wdi-AG.LND.TOTL.K2,0.0966067415962854
32,32,gbr,2015,wdi-EN.POP.DNST,wdi-AG.SRF.TOTL.K2,0.0841442292136216
33,33,gbr,2015,wdi-EN.POP.DNST,wdi-EG.ELC.RNEW.ZS,0.0679704691484306
34,34,gbr,2015,wdi-EN.POP.DNST,wdi-EG.ELC.ACCS.ZS,0.0427385476135819
35,35,gbr,2015,wdi-EN.POP.DNST,wdi-ER.FSH.CAPT.MT,0.0604560186968777
36,36,gbr,2015,wdi-EN.POP.DNST,wdi-ER.FSH.PROD.MT,0.0651260612934175
37,37,gbr,2015,wdi-EN.POP.DNST,wdi2-SP.POP.GROW,0.0901558074577704
38,38,gbr,2015,wdi-EN.POP.DNST,wdi2-SP.POP.TOTL,0.1662754356455392
39,39,gbr,2015,wdi-EN.POP.DNST,wdi2-SM.POP.TOTL,0.1673409380994455
40,40,gbr,2015,wdi-EG.ELC.ACCS.ZS,wdi2-NY.GDP.MKTP.CN,0.097625705101721
41,41,gbr,2015,wdi-EG.ELC.ACCS.ZS,wdi-AG.LND.TOTL.K2,0.0566817415031812
42,42,gbr,2015,wdi-EG.ELC.ACCS.ZS,wdi-AG.SRF.TOTL.K2,0.0569778343581918
43,43,gbr,2015,wdi-EG.ELC.ACCS.ZS,wdi-EG.ELC.RNEW.ZS,0.0675328163893983
44,44,gbr,2015,wdi-EG.ELC.ACCS.ZS,wdi-EN.POP.DNST,0.086035289045289
45,45,gbr,2015,wdi-EG.ELC.ACCS.ZS,wdi-ER.FSH.CAPT.MT,0.0590004618149633
46,46,gbr,2015,wdi-EG.ELC.ACCS.ZS,wdi-ER.FSH.PROD.MT,0.059269537785641
47,47,gbr,2015,wdi-EG.ELC.ACCS.ZS,wdi2-SP.POP.GROW,0.1073841616887137
48,48,gbr,2015,wdi-EG.ELC.ACCS.ZS,wdi2-SP.POP.TOTL,0.0939997270218634
49,49,gbr,2015,wdi-EG.ELC.ACCS.ZS,wdi-EG.ELC.ACCS.UR.ZS,0.3154927252910369
50,50,gbr,2015,wdi-ER.FSH.CAPT.MT,wdi2-NY.GDP.MKTP.CN,0.1137870420283701
51,51,gbr,2015,wdi-ER.FSH.CAPT.MT,wdi-AG.LND.TOTL.K2,0.0632313874585571
