,Unnamed: 0,model,year,target,names,values
0,0,gbr,2020,wdi2-SP.POP.GROW,wdi2-NE.DAB.TOTL.CN,0.0081841013553235
1,1,gbr,2020,wdi2-SP.POP.GROW,wdi2-NY.GDY.TOTL.KN,0.0055964379922861
2,2,gbr,2020,wdi2-SP.POP.GROW,wdi2-SP.POP.TOTL,0.0126210930537783
3,3,gbr,2020,wdi2-SP.POP.GROW,wdi2-SP.RUR.TOTL,0.0133636036522186
4,4,gbr,2020,wdi2-SP.POP.GROW,wdi2-SP.RUR.TOTL.ZS,0.01011626052034
5,5,gbr,2020,wdi2-SP.POP.GROW,wdi2-SP.URB.GROW,0.912141561695217
6,6,gbr,2020,wdi2-SP.POP.GROW,wdi2-SP.URB.TOTL,0.0094465556313674
7,7,gbr,2020,wdi2-SP.POP.GROW,wdi2-SP.URB.TOTL.IN.ZS,0.0157375785529628
8,8,gbr,2020,wdi2-SP.POP.GROW,wdi-IT.NET.SECR.P6,0.0095590487441488
9,9,gbr,2020,wdi2-SP.POP.GROW,wdi2-SE.PRM.DURS,0.0032337588023571
10,10,gbr,2020,wdi2-SP.POP.TOTL,wdi2-NE.DAB.TOTL.CN,0.0016754056097247
11,11,gbr,2020,wdi2-SP.POP.TOTL,wdi2-NY.GDY.TOTL.KN,0.004152764168041
12,12,gbr,2020,wdi2-SP.POP.TOTL,wdi2-SP.POP.GROW,0.0013570818028634
13,13,gbr,2020,wdi2-SP.POP.TOTL,wdi2-SP.RUR.TOTL,0.5676197781738901
14,14,gbr,2020,wdi2-SP.POP.TOTL,wdi2-SP.RUR.TOTL.ZS,0.0005741857124059
15,15,gbr,2020,wdi2-SP.POP.TOTL,wdi2-SP.URB.GROW,0.0026042916940846
16,16,gbr,2020,wdi2-SP.POP.TOTL,wdi2-SP.URB.TOTL,0.420057836795403
17,17,gbr,2020,wdi2-SP.POP.TOTL,wdi2-SP.URB.TOTL.IN.ZS,0.0013577130192037
18,18,gbr,2020,wdi2-SP.POP.TOTL,wdi-IT.NET.SECR.P6,0.0006006811714507
19,19,gbr,2020,wdi2-SP.POP.TOTL,wdi2-SE.PRM.DURS,2.618529327689851e-07
20,20,gbr,2020,wdi-IT.NET.SECR.P6,wdi2-NE.DAB.TOTL.CN,0.033359745762808
21,21,gbr,2020,wdi-IT.NET.SECR.P6,wdi2-NY.GDY.TOTL.KN,0.0089600820340622
