,rmse,rmse_deviation,time,year,target,model
0,6.282304566013726,0.0731324131632005,24.149714946746826,2019,wdi-EG.ELC.ACCS.ZS,rfr
0,0.3742675715351132,0.30750075816756295,19.24869394302368,2019,wdi2-SP.POP.GROW,rfr
0,137769654.05498052,0.43898992614689103,19.792958974838257,2019,wdi2-SP.POP.TOTL,rfr
0,5.664829536475799,0.060558210927625145,19.493398666381836,2019,wdi-EG.ELC.ACCS.UR.ZS,rfr
0,73919461.62956281,0.5029993867724352,23.547527074813843,2019,wdi2-SP.RUR.TOTL,rfr
0,0.49080326838714294,0.012341407986423253,20.848467111587524,2019,wdi2-SP.RUR.TOTL.ZS,rfr
0,0.4741391187919906,0.2512896504394786,34.93293905258179,2019,wdi2-SP.URB.GROW,rfr
0,101493004.59634161,0.5998791187184918,37.49349904060364,2019,wdi2-SP.URB.TOTL,rfr
0,0.5031157418501682,0.008353078355176511,27.129791975021362,2019,wdi2-SP.URB.TOTL.IN.ZS,rfr
0,28479.465453869136,0.10269165679959316,29.99426794052124,2019,wdi-IT.NET.SECR.P6,rfr
