,rmse,rmse_deviation,time,year,target,model
0,0.3520992768347973,0.29977291163788605,34.102388858795166,2020,wdi2-SP.POP.GROW,rfr
0,146533632.9410638,0.4615559556323623,28.443456172943115,2020,wdi2-SP.POP.TOTL,rfr
0,61471.038652527925,0.08294805383766161,29.666465044021606,2020,wdi-IT.NET.SECR.P6,rfr
0,84897587.55058885,0.5767460894635807,27.170723915100098,2020,wdi2-SP.RUR.TOTL,rfr
0,0.46912079420231545,0.011894050141942721,28.841991901397705,2020,wdi2-SP.RUR.TOTL.ZS,rfr
0,0.4366006020644958,0.2359669116332197,26.4548659324646,2020,wdi2-SP.URB.GROW,rfr
0,96505346.50553347,0.55906847582125,26.928005933761597,2020,wdi2-SP.URB.TOTL,rfr
0,0.4749518421442744,0.007842877670616113,27.408658981323242,2020,wdi2-SP.URB.TOTL.IN.ZS,rfr
0,0.4828388437352652,0.08327622938957906,25.22876000404358,2020,wdi2-SE.PRM.DURS,rfr
0,0.7975713935431871,0.0941729041534116,26.1859130859375,2020,wdi2-SP.RUR.TOTL.ZG,rfr
