,rmse,rmse_deviation,time,year,target,model
0,28.299356796432704,0.9879659058544848,27.92882513999939,2010,wdi-EG.ELC.RNEW.ZS,rfr
0,1.1288707350745664,0.7980122275399532,32.621500968933105,2010,wdi2-SP.POP.GROW,rfr
0,132879946.87378947,0.4758279517384705,28.206832885742188,2010,wdi2-SP.POP.TOTL,rfr
0,3392904.845821463,0.6540440031103717,26.490147829055786,2010,wdi-AG.LND.TOTL.K2,rfr
0,1820.8870681426308,0.10048170280420819,26.332162857055664,2010,wdi-EN.POP.DNST,rfr
0,3406241.6825250303,0.6536067442060952,27.09560513496399,2010,wdi-AG.SRF.TOTL.K2,rfr
0,7.355695282112017,0.09277147343780426,26.148200035095215,2010,wdi-EG.ELC.ACCS.ZS,rfr
0,11371684.055778675,0.05140119638016804,25.588116884231567,2010,wdi2-SM.POP.TOTL,rfr
0,8.999915878780206,0.875972938734442,26.39463210105896,2010,wdi2-SM.POP.TOTL.ZS,rfr
0,88200459.86111997,0.6177790061117666,25.512546062469482,2010,wdi2-SP.RUR.TOTL,rfr
