model,year,target,names,values
rfr,2019,wdi-EG.ELC.ACCS.ZS,wdi2-NE.DAB.TOTL.CN,0.00825556522752511
rfr,2019,wdi-EG.ELC.ACCS.ZS,wdi-FM.LBL.BMNY.CN,0.009573115426424085
rfr,2019,wdi-EG.ELC.ACCS.ZS,wdi2-SP.POP.GROW,0.0319492948909206
rfr,2019,wdi-EG.ELC.ACCS.ZS,wdi2-SP.POP.TOTL,0.008512790560725899
rfr,2019,wdi-EG.ELC.ACCS.ZS,wdi-EG.ELC.ACCS.UR.ZS,0.8909117163874226
rfr,2019,wdi-EG.ELC.ACCS.ZS,wdi2-SP.RUR.TOTL,0.012874789965967158
rfr,2019,wdi-EG.ELC.ACCS.ZS,wdi2-SP.RUR.TOTL.ZS,0.007933771519622863
rfr,2019,wdi-EG.ELC.ACCS.ZS,wdi2-SP.URB.GROW,0.010522847206974316
rfr,2019,wdi-EG.ELC.ACCS.ZS,wdi2-SP.URB.TOTL,0.011055780104787154
rfr,2019,wdi-EG.ELC.ACCS.ZS,wdi2-SP.URB.TOTL.IN.ZS,0.008410328709630115
rfr,2019,wdi2-SP.POP.GROW,wdi2-NE.DAB.TOTL.CN,0.016101732981703497
rfr,2019,wdi2-SP.POP.GROW,wdi2-SP.POP.TOTL,0.009831438538150326
rfr,2019,wdi2-SP.POP.GROW,wdi-EG.ELC.ACCS.ZS,0.010925519774128617
rfr,2019,wdi2-SP.POP.GROW,wdi2-SP.RUR.TOTL,0.011552344381386163
rfr,2019,wdi2-SP.POP.GROW,wdi2-SP.RUR.TOTL.ZS,0.014125243673815938
rfr,2019,wdi2-SP.POP.GROW,wdi2-SP.URB.GROW,0.8949625496881665
rfr,2019,wdi2-SP.POP.GROW,wdi2-SP.URB.TOTL,0.011256617961608482
rfr,2019,wdi2-SP.POP.GROW,wdi2-SP.URB.TOTL.IN.ZS,0.01480729657130557
rfr,2019,wdi2-SP.POP.GROW,wdi-EG.ELC.ACCS.UR.ZS,0.004944708474277313
rfr,2019,wdi2-SP.POP.GROW,wdi-IT.NET.SECR.P6,0.011492547955457578
rfr,2019,wdi2-SP.POP.TOTL,wdi2-NE.DAB.TOTL.CN,0.009903239511123808
rfr,2019,wdi2-SP.POP.TOTL,wdi2-SP.POP.GROW,0.004290524225624451
rfr,2019,wdi2-SP.POP.TOTL,wdi-EG.ELC.ACCS.ZS,0.003449646723401971
rfr,2019,wdi2-SP.POP.TOTL,wdi2-SP.RUR.TOTL,0.6300544347775691
rfr,2019,wdi2-SP.POP.TOTL,wdi2-SP.RUR.TOTL.ZS,0.004524606046276243
rfr,2019,wdi2-SP.POP.TOTL,wdi2-SP.URB.GROW,0.0023240139343863493
rfr,2019,wdi2-SP.POP.TOTL,wdi2-SP.URB.TOTL,0.3343975366231568
rfr,2019,wdi2-SP.POP.TOTL,wdi2-SP.URB.TOTL.IN.ZS,0.003197285784412261
rfr,2019,wdi2-SP.POP.TOTL,wdi-EG.ELC.ACCS.UR.ZS,0.004389166100671848
rfr,2019,wdi2-SP.POP.TOTL,wdi-IT.NET.SECR.P6,0.0034695462733771282
rfr,2019,wdi-EG.ELC.ACCS.UR.ZS,wdi2-NE.DAB.TOTL.CN,0.017301504069381198
rfr,2019,wdi-EG.ELC.ACCS.UR.ZS,wdi-EG.ELC.ACCS.ZS,0.8628125773487498
rfr,2019,wdi-EG.ELC.ACCS.UR.ZS,wdi2-SP.POP.GROW,0.019383240032955277
rfr,2019,wdi-EG.ELC.ACCS.UR.ZS,wdi2-SP.POP.TOTL,0.006762192910683626
rfr,2019,wdi-EG.ELC.ACCS.UR.ZS,wdi2-SP.RUR.TOTL,0.006939886967326554
