,Unnamed: 0,target,rmse_deviation,model,R2
0,0,epi-TBN,0.2224656560446306,etr,0.9146739146434638
1,1,epi-TBG,0.3373849437041705,etr,0.8318830892760574
2,2,epi-PAR,0.2659035958276495,etr,0.9175185777153828
3,3,epi-BHV,0.0870949851575819,etr,0.9077262169925198
4,4,epi-ECO,0.1609413630804258,etr,0.8307555512209672
5,5,epi-EPI,0.0810931149190731,etr,0.9162632504820872
6,6,irena-ff-cap-on,0.4028696385688927,etr,0.9801928448769868
7,7,epi-MPA,0.7082856068449835,etr,0.8876039895945809
8,8,epi-HLT,0.1007447246202488,etr,0.9362580068924292
9,9,epi-MSW,0.2498195134508414,etr,0.9386966337529056
10,10,epi-WMG,0.2049528818057499,etr,0.958739008016571
11,11,wdi2-SP.POP.GROW,0.4540616012042097,etr,0.7583942461135308
12,12,wdi2-SP.POP.TOTL,0.0506616498021071,etr,0.9993869361796188
13,13,wdi2-SE.PRM.DURS,0.0188443883163518,etr,0.9173404447828496
14,14,wdi2-SP.RUR.TOTL,0.6806283286858215,etr,0.9116578885758344
15,15,wdi2-SP.RUR.TOTL.ZS,0.2512226974194409,etr,0.8159422929096543
16,16,wdi2-SE.SEC.DURS,0.0491756746896814,etr,0.8802422213943856
17,17,wdi2-SP.URB.TOTL,0.3251191729124764,etr,0.9813533809750986
18,18,wdi2-SP.URB.TOTL.IN.ZS,0.1680874821054717,etr,0.8770942098056601
19,19,wdi2-SP.URB.GROW,0.3802169525179434,etr,0.8300912893187468
20,20,wdi2-SE.SEC.AGES,0.0158908253409946,etr,0.8169184500435249
21,21,wdi2-SE.PRM.AGES,0.0245650403333983,etr,0.9241652390019706
22,22,epi-WWT,0.5507700905281409,etr,0.9660338784534797
23,23,epi-WRS,0.7007875531687034,etr,0.945010721333784
24,24,key-wdi2-SP.POP.TOTL,0.3748014903097129,etr,0.9657031669905422
25,25,irena-ff-gen-on,0.1408303341421084,etr,0.9977069666326176
