,model,year,target,names,values
0,lgbmr,2010,wdi-EG.ELC.RNEW.ZS,wdi2-NY.GDY.TOTL.KN,481.5521428287029
1,lgbmr,2010,wdi-EG.ELC.RNEW.ZS,wdi2-SP.POP.GROW,641.9520411491394
2,lgbmr,2010,wdi-EG.ELC.RNEW.ZS,wdi2-SP.POP.TOTL,444.3696749359369
3,lgbmr,2010,wdi-EG.ELC.RNEW.ZS,wdi-AG.LND.TOTL.K2,2173.441851198673
4,lgbmr,2010,wdi-EG.ELC.RNEW.ZS,wdi-EN.POP.DNST,804.0925405025482
5,lgbmr,2010,wdi-EG.ELC.RNEW.ZS,wdi-AG.SRF.TOTL.K2,76.803631067276
6,lgbmr,2010,wdi-EG.ELC.RNEW.ZS,wdi-EG.ELC.ACCS.ZS,458.0296567976475
7,lgbmr,2010,wdi-EG.ELC.RNEW.ZS,wdi2-SM.POP.TOTL,1073.1653832793236
8,lgbmr,2010,wdi-EG.ELC.RNEW.ZS,wdi2-SM.POP.TOTL.ZS,310.16545018553734
9,lgbmr,2010,wdi-EG.ELC.RNEW.ZS,wdi2-SP.RUR.TOTL,449.17269682884216
10,lgbmr,2010,wdi2-SP.POP.GROW,wdi2-NY.GDP.MKTP.KN,1.1111026857065551
11,lgbmr,2010,wdi2-SP.POP.GROW,wdi-EG.ELC.RNEW.ZS,1.1020550287530568
12,lgbmr,2010,wdi2-SP.POP.GROW,wdi2-SP.POP.TOTL,0.3935779778539654
13,lgbmr,2010,wdi2-SP.POP.GROW,wdi-AG.LND.TOTL.K2,1.1843618208525868
14,lgbmr,2010,wdi2-SP.POP.GROW,wdi-EN.POP.DNST,1.1464156169879516
15,lgbmr,2010,wdi2-SP.POP.GROW,wdi-AG.SRF.TOTL.K2,0.3863971614471211
16,lgbmr,2010,wdi2-SP.POP.GROW,wdi-EG.ELC.ACCS.ZS,5.461377520793917
17,lgbmr,2010,wdi2-SP.POP.GROW,wdi2-SM.POP.TOTL,1.5243853751162533
18,lgbmr,2010,wdi2-SP.POP.GROW,wdi2-SM.POP.TOTL.ZS,5.947566294998069
19,lgbmr,2010,wdi2-SP.POP.GROW,wdi2-SP.RUR.TOTL,1.2400540958030888
20,lgbmr,2010,wdi2-SP.POP.TOTL,wdi2-NY.GDP.MKTP.KN,6.245216313617285e+17
21,lgbmr,2010,wdi2-SP.POP.TOTL,wdi-EG.ELC.RNEW.ZS,9.705552544332186e+16
22,lgbmr,2010,wdi2-SP.POP.TOTL,wdi2-SP.POP.GROW,9.897176792747213e+16
23,lgbmr,2010,wdi2-SP.POP.TOTL,wdi-AG.LND.TOTL.K2,7.078031909605212e+17
24,lgbmr,2010,wdi2-SP.POP.TOTL,wdi-EN.POP.DNST,2.1115013057396736e+17
25,lgbmr,2010,wdi2-SP.POP.TOTL,wdi-AG.SRF.TOTL.K2,5.716604279711334e+16
26,lgbmr,2010,wdi2-SP.POP.TOTL,wdi-EG.ELC.ACCS.ZS,2.2220261306597376e+17
27,lgbmr,2010,wdi2-SP.POP.TOTL,wdi2-SM.POP.TOTL,4.5784335666580685e+17
28,lgbmr,2010,wdi2-SP.POP.TOTL,wdi2-SM.POP.TOTL.ZS,1.9284421014421504e+16
29,lgbmr,2010,wdi2-SP.POP.TOTL,wdi2-SP.RUR.TOTL,2.554796363713676e+18
30,lgbmr,2010,wdi-AG.LND.TOTL.K2,wdi2-NY.GDY.TOTL.KN,74319116342540.0
31,lgbmr,2010,wdi-AG.LND.TOTL.K2,wdi-EG.ELC.RNEW.ZS,67527830184142.0
32,lgbmr,2010,wdi-AG.LND.TOTL.K2,wdi-EN.POP.DNST,44428473505224.0
33,lgbmr,2010,wdi-AG.LND.TOTL.K2,wdi2-SP.POP.GROW,51968691247428.0
34,lgbmr,2010,wdi-AG.LND.TOTL.K2,wdi2-SP.POP.TOTL,174598370913026.0
35,lgbmr,2010,wdi-AG.LND.TOTL.K2,wdi-AG.SRF.TOTL.K2,766839944529466.9
36,lgbmr,2010,wdi-AG.LND.TOTL.K2,wdi-EG.ELC.ACCS.ZS,65923073470702.0
37,lgbmr,2010,wdi-AG.LND.TOTL.K2,wdi2-SH.H2O.BASW.ZS,26370769701492.0
38,lgbmr,2010,wdi-AG.LND.TOTL.K2,wdi2-SM.POP.TOTL,201980451086223.0
39,lgbmr,2010,wdi-AG.LND.TOTL.K2,wdi2-SM.POP.TOTL.ZS,13411258101252.0
40,lgbmr,2010,wdi-EN.POP.DNST,wdi2-NY.GDY.TOTL.KN,1939211.3217010496
41,lgbmr,2010,wdi-EN.POP.DNST,wdi-AG.LND.TOTL.K2,2146064.88180542
42,lgbmr,2010,wdi-EN.POP.DNST,wdi-EG.ELC.RNEW.ZS,399226.09701538086
43,lgbmr,2010,wdi-EN.POP.DNST,wdi2-SP.POP.GROW,338551.64739990234
44,lgbmr,2010,wdi-EN.POP.DNST,wdi2-SP.POP.TOTL,275705.46688842773
45,lgbmr,2010,wdi-EN.POP.DNST,wdi-AG.SRF.TOTL.K2,636666.2523193359
46,lgbmr,2010,wdi-EN.POP.DNST,wdi-EG.ELC.ACCS.ZS,36890.13488769531
47,lgbmr,2010,wdi-EN.POP.DNST,wdi2-SH.H2O.BASW.ZS,4758755.24017334
48,lgbmr,2010,wdi-EN.POP.DNST,wdi2-SM.POP.TOTL,263563.3759460449
49,lgbmr,2010,wdi-EN.POP.DNST,wdi2-SM.POP.TOTL.ZS,4616267.123748779
50,lgbmr,2010,wdi-AG.SRF.TOTL.K2,wdi2-NY.GDY.TOTL.KN,71090361298388.0
51,lgbmr,2010,wdi-AG.SRF.TOTL.K2,wdi-AG.LND.TOTL.K2,710461464123691.9
52,lgbmr,2010,wdi-AG.SRF.TOTL.K2,wdi-EG.ELC.RNEW.ZS,70035701643756.0
53,lgbmr,2010,wdi-AG.SRF.TOTL.K2,wdi-EN.POP.DNST,48960849815268.0
54,lgbmr,2010,wdi-AG.SRF.TOTL.K2,wdi2-SP.POP.GROW,57246588133500.0
55,lgbmr,2010,wdi-AG.SRF.TOTL.K2,wdi2-SP.POP.TOTL,242444523739174.56
56,lgbmr,2010,wdi-AG.SRF.TOTL.K2,wdi-EG.ELC.ACCS.ZS,48053280626380.0
57,lgbmr,2010,wdi-AG.SRF.TOTL.K2,wdi2-SH.H2O.BASW.ZS,12515060032008.0
58,lgbmr,2010,wdi-AG.SRF.TOTL.K2,wdi2-SM.POP.TOTL,244635427539344.0
59,lgbmr,2010,wdi-AG.SRF.TOTL.K2,wdi2-SM.POP.TOTL.ZS,16621355690699.0
60,lgbmr,2010,wdi-EG.ELC.ACCS.ZS,wdi2-NY.GDY.TOTL.KN,57.98115907050669
61,lgbmr,2010,wdi-EG.ELC.ACCS.ZS,wdi-EG.ELC.RNEW.ZS,22.830651570111517
62,lgbmr,2010,wdi-EG.ELC.ACCS.ZS,wdi2-SP.POP.GROW,51.39787429571152
63,lgbmr,2010,wdi-EG.ELC.ACCS.ZS,wdi2-SP.POP.TOTL,117.3027709685266
64,lgbmr,2010,wdi-EG.ELC.ACCS.ZS,wdi-AG.LND.TOTL.K2,43.653993813320994
65,lgbmr,2010,wdi-EG.ELC.ACCS.ZS,wdi-EN.POP.DNST,36.4740884155035
66,lgbmr,2010,wdi-EG.ELC.ACCS.ZS,wdi-AG.SRF.TOTL.K2,14.210798032581806
67,lgbmr,2010,wdi-EG.ELC.ACCS.ZS,wdi-EG.ELC.ACCS.UR.ZS,7371.419239621609
68,lgbmr,2010,wdi-EG.ELC.ACCS.ZS,wdi2-SM.POP.TOTL,17.262820546049625
