,feature indicator,feature importance,predicted indicator
980,wdi-DC.DAC.AUSL.CD,0.0756716146626273,mvi-wdi-BX.TRF.PWKR.DT.GD.ZS
981,wdi2-SL.UEM.TOTL.MA.NE.ZS,0.0826298634442262,mvi-wdi-BX.TRF.PWKR.DT.GD.ZS
982,wdi2-SH.STA.POIS.P5.FE,0.1126535496003179,mvi-wdi-BX.TRF.PWKR.DT.GD.ZS
983,wdi2-SP.POP.3034.MA.5Y,0.108190233539485,mvi-wdi-BX.TRF.PWKR.DT.GD.ZS
984,wdi2-SH.STA.WAST.MA.ZS,0.0865668264300138,mvi-wdi-BX.TRF.PWKR.DT.GD.ZS
985,wdi2-SP.POP.5054.FE.5Y,0.0808802677766833,mvi-wdi-BX.TRF.PWKR.DT.GD.ZS
986,wdi-DT.DOD.MIBR.CD,0.1024458593808761,mvi-wdi-BX.TRF.PWKR.DT.GD.ZS
987,unicef-wash3,0.1647060383444865,mvi-wdi-BX.TRF.PWKR.DT.GD.ZS
988,wdi2-SP.POP.4044.MA.5Y,0.0937762194417104,mvi-wdi-BX.TRF.PWKR.DT.GD.ZS
989,wdi2-NY.GDP.FCST.KD,0.092479527379573,mvi-wdi-BX.TRF.PWKR.DT.GD.ZS
2420,hdr-123506,0.026292033603359,mvi-ldc-AFF-Index
2421,wdi-HD.HCI.OVRL.UB.FE,0.0485900170873866,mvi-ldc-AFF-Index
2422,ldc-AFF-Value,0.6763912307794985,mvi-ldc-AFF-Index
2423,ldc-HAI,0.0903823345905942,mvi-ldc-AFF-Index
2424,wdi2-SP.POP.5559.MA.5Y,0.021910381858241,mvi-ldc-AFF-Index
2425,wdi2-SH.XPD.GHED.PP.CD,0.025580356932704,mvi-ldc-AFF-Index
2426,hdr-179406,0.0109392822920484,mvi-ldc-AFF-Index
2427,ndgain-id_soci_02-raw,0.0798903367476645,mvi-ldc-AFF-Index
2428,wdi-DT.ODA.ODAT.CD,0.0008846276368644,mvi-ldc-AFF-Index
2429,wdi2-SL.FAM.WORK.ZS,0.019139398471639,mvi-ldc-AFF-Index
2430,wdi2-SP.POP.1564.TO.ZS,0.1934933885570559,mvi-ldc-REM-Index
2431,ndgain-id_habi_01-raw,0.1217937522740564,mvi-ldc-REM-Index
2432,wdi2-SE.PRM.OENR.MA.ZS,0.0138529309331044,mvi-ldc-REM-Index
2433,wdi-IQ.SPI.PIL4,0.0706727837015389,mvi-ldc-REM-Index
2434,paris-89,0.0112439961894211,mvi-ldc-REM-Index
2435,ohi-spp-trend,0.0827791511650725,mvi-ldc-REM-Index
2436,wdi2-SL.EMP.MPYR.ZS,0.1155716530853886,mvi-ldc-REM-Index
2437,irena-lb-cap-on,0.0244394630646026,mvi-ldc-REM-Index
2438,mvi-geographic,0.3061853883423489,mvi-ldc-REM-Index
2439,wdi2-SP.POP.65UP.FE.ZS,0.0599674926874103,mvi-ldc-REM-Index
2440,key-ndgain-nd-vulnerability,0.3130692333842672,mvi-ldc-XCON-Index
2441,paris-36,0.0461444627649344,mvi-ldc-XCON-Index
2442,wdi2-TM.VAL.MRCH.WR.ZS,0.0443520286723982,mvi-ldc-XCON-Index
2443,key-mvi-ldc-XIN-Index,0.0920295356024881,mvi-ldc-XCON-Index
2444,ldc-XIN-Index,0.0872808301768927,mvi-ldc-XCON-Index
2445,wdi2-SP.DYN.CBRT.IN,0.1089427640341494,mvi-ldc-XCON-Index
2446,itu-fb10,0.0823689400649538,mvi-ldc-XCON-Index
2447,wdi2-SH.STA.MALN.FE.ZS,0.1055914134766556,mvi-ldc-XCON-Index
2448,wdi2-TM.TAX.TCOM.BC.ZS,0.0727553929442716,mvi-ldc-XCON-Index
2449,igrac-twap_sids_environmental_meanprecipitation,0.0474653988789887,mvi-ldc-XCON-Index
2450,hdr-153706,0.0665034883489549,mvi-ldc-XIN-Index
2451,wdi-GC.XPN.TRFT.ZS,0.1023546246692546,mvi-ldc-XIN-Index
2452,wdi-DT.NFL.WHOL.CD,0.0724750455991408,mvi-ldc-XIN-Index
2453,wdi2-SG.GEN.PARL.ZS,0.0827830287844753,mvi-ldc-XIN-Index
2454,ihme-animal-contact,0.2174033643760158,mvi-ldc-XIN-Index
2455,hdr-112506,0.1589951034714623,mvi-ldc-XIN-Index
2456,wdi2-SH.STA.ODFC.ZS,0.065479477358238,mvi-ldc-XIN-Index
2457,paris-153,0.0607478546024329,mvi-ldc-XIN-Index
2458,ndgain-id_heal_05-score,0.0813040398804234,mvi-ldc-XIN-Index
2459,wdi2-TG.VAL.TOTL.GD.ZS,0.0919539729096016,mvi-ldc-XIN-Index
2460,ihme-falls,0.0938599246808845,mvi-ldc-LECZ-Index
2461,wdi2-SH.MED.BEDS.ZS,0.1156243873238176,mvi-ldc-LECZ-Index
2462,wdi2-NV.SRV.TOTL.KN,0.1290656052747779,mvi-ldc-LECZ-Index
2463,key-wdi2-SP.POP.TOTL,0.2254953962267002,mvi-ldc-LECZ-Index
2464,wdi2-TX.VAL.MRCH.WR.ZS,0.0432797133933918,mvi-ldc-LECZ-Index
2465,wdi2-SE.SEC.ENRL.GC.FE.ZS,0.0904288232501205,mvi-ldc-LECZ-Index
2466,mvi-environmental,0.0861191330929085,mvi-ldc-LECZ-Index
