,feature indicator,feature importance,predicted indicator
22190,wdi-IC.REG.PROC.MA,0.0799540062274015,blasiak-sea-26-16
22191,wdi2-NE.GDI.TOTL.ZS,0.0343604343716842,blasiak-sea-26-16
22192,wdi2-SE.SEC.ENRR.FE,0.0401471333651837,blasiak-sea-26-16
22193,hdr-48806,0.1633734799544571,blasiak-sea-26-16
22194,ihme-tuberculosis,0.1215553414677449,blasiak-sea-26-16
22195,wdi-EG.ELC.ACCS.UR.ZS,0.0233600423215621,blasiak-sea-26-16
22196,blasiak-sea-45-16,0.4791678209048426,blasiak-sea-26-16
22197,wdi2-NV.SRV.TOTL.KN,0.0139076511939171,blasiak-sea-26-16
22198,wdi2-NV.MNF.FBTO.ZS.UN,0.0355385367476323,blasiak-sea-26-16
22199,paris-41,0.0086355534455739,blasiak-sea-26-16
22200,wdi-FB.ATM.TOTL.P5,0.1054723252614655,blasiak-sea-26-50
22201,ihme-leukemia,0.103553265978659,blasiak-sea-26-50
22202,wdi2-SP.URB.TOTL,0.0275476590380196,blasiak-sea-26-50
22203,ndgain-nd-readiness-governance,0.1350737780084643,blasiak-sea-26-50
22204,hdr-164406,0.0794150959810689,blasiak-sea-26-50
22205,itu-iwmp,0.0569307472038616,blasiak-sea-26-50
22206,ndgain-id_gove_01-raw,0.0473424762395563,blasiak-sea-26-50
22207,wdi2-SE.SEC.ENRL.FE.ZS,0.0846104731943625,blasiak-sea-26-50
22208,wdi2-SP.DYN.TFRT.IN,0.2408845239672045,blasiak-sea-26-50
22209,wdi2-SH.STA.OWGH.ME.ZS,0.1191696551273372,blasiak-sea-26-50
22210,ohi-spp-trend,0.0325242580018544,blasiak-sea-45-16
22211,wdi2-SP.REG.BRTH.MA.ZS,0.0827620817865023,blasiak-sea-45-16
22212,wdi2-SI.POV.LMIC,0.1474980893372962,blasiak-sea-45-16
22213,wdi-IP.JRN.ARTC.SC,0.0278042504516815,blasiak-sea-45-16
22214,wdi2-SL.UEM.ADVN.FE.ZS,0.1527774161837385,blasiak-sea-45-16
22215,wdi-EN.ATM.CO2E.PP.GD.KD,0.1208964728666605,blasiak-sea-45-16
22216,hdr-184006,0.2847752578898123,blasiak-sea-45-16
22217,blasiak-index-45-50,0.0827865475411989,blasiak-sea-45-16
22218,wdi2-SH.XPD.GHED.CH.ZS,0.0455114874686443,blasiak-sea-45-16
22219,wdi2-NY.GSR.NFCY.CD,0.0226641384726107,blasiak-sea-45-16
22220,wdi2-TM.VAL.MMTL.ZS.UN,0.0480278519829966,blasiak-sea-45-50
22221,hdr-123306,0.0683838485269803,blasiak-sea-45-50
22222,wdi2-SP.POP.7074.MA.5Y,0.0705927104867109,blasiak-sea-45-50
22223,wdi2-SL.TLF.ACTI.MA.ZS,0.2334527780858825,blasiak-sea-45-50
22224,ihme-gallbladder-and-biliary-tract-cancer,0.0586045011154314,blasiak-sea-45-50
22225,blasiak-life,0.1457383657634437,blasiak-sea-45-50
22226,hdr-52306,0.0617208789488311,blasiak-sea-45-50
22227,wdi2-SE.XPD.CSEC.ZS,0.0633159815818093,blasiak-sea-45-50
22228,wdi2-SP.RUR.TOTL.ZS,0.0357476765231574,blasiak-sea-45-50
22229,ohi-fis-score,0.2144154069847565,blasiak-sea-45-50
22230,ihme-acute-hepatitis,0.1723695798908116,blasiak-sea-85-16
22231,blasiak-sea-26-50,0.0883789725391813,blasiak-sea-85-16
22232,wdi-CM.MKT.INDX.ZG,0.0274052407943763,blasiak-sea-85-16
22233,ohi-cp-score,0.0428825438416007,blasiak-sea-85-16
22234,hdr-31706,0.027910492253168,blasiak-sea-85-16
22235,blasiak-sea-45-16,0.1188695547950612,blasiak-sea-85-16
22236,wdi-GC.AST.TOTL.CN,0.0315874318169971,blasiak-sea-85-16
22237,wdi2-SP.POP.0004.FE.5Y,0.3569929741301862,blasiak-sea-85-16
22238,wdi2-SP.POP.65UP.TO.ZS,0.0769606358723686,blasiak-sea-85-16
22239,wdi2-SE.SEC.PROG.MA.ZS,0.0566425740662488,blasiak-sea-85-16
22240,hdr-123606,0.0823702104539735,blasiak-sea-85-50
22241,ohi-lsp-status,0.1059144469924567,blasiak-sea-85-50
22242,wdi-EG.ELC.LOSS.ZS,0.0990079263185706,blasiak-sea-85-50
22243,wdi-BM.TRF.PWKR.CD.DT,0.1155420771071042,blasiak-sea-85-50
22244,wdi-FB.CBK.BRWR.P3,0.0409125580701723,blasiak-sea-85-50
22245,blasiak-index-26-50,0.0999756227823003,blasiak-sea-85-50
22246,wdi2-NY.TAX.NIND.CD,0.0787504207156699,blasiak-sea-85-50
22247,ihme-tuberculosis,0.125068984981732,blasiak-sea-85-50
22248,wdi-IT.MLT.MAIN,0.0837692758457689,blasiak-sea-85-50
22249,blasiak-industry,0.1686884767322513,blasiak-sea-85-50
22250,wdi2-NY.GNS.ICTR.CD,0.0834210813292283,blasiak-fishers
22251,wdi2-SL.TLF.ACTI.1524.MA.ZS,0.0996292116385952,blasiak-fishers
22252,wdi2-SH.XPD.CHEX.GD.ZS,0.1004116872255897,blasiak-fishers
22253,wdi-IS.AIR.DPRT,0.0832804759600073,blasiak-fishers
22254,hdr-195706,0.0630055239401169,blasiak-fishers
22255,wdi-IQ.CPA.REVN.XQ,0.0507117011929952,blasiak-fishers
