,feature indicator,feature importance,predicted indicator
60,wdi2-NY.ADJ.DKAP.CD,0.1260991684000683,irena-ff-cap-on
61,wdi2-NY.EXP.CAPM.KN,0.0088378571062233,irena-ff-cap-on
62,wdi2-NY.TAX.NIND.KN,0.010677616126773,irena-ff-cap-on
63,hdr-123606,0.2028005827062955,irena-ff-cap-on
64,wdi-BM.GSR.GNFS.CD,0.4166252673039496,irena-ff-cap-on
65,wdi2-SP.POP.0014.TO,0.0116946718026631,irena-ff-cap-on
66,paris-35,0.0070343027479075,irena-ff-cap-on
67,wdi2-SL.EMP.VULN.FE.ZS,0.0129923298883178,irena-ff-cap-on
68,wdi2-SP.POP.TOTL.MA.ZS,0.0417385619787944,irena-ff-cap-on
69,key-wdi-IS.SHP.GOOD.TU,0.1614996419390069,irena-ff-cap-on
250,wdi2-NY.GDP.MKTP.CD,0.8059892003666435,irena-ff-gen-on
251,wdi-GC.XPN.INTP.CN,0.0084578735647433,irena-ff-gen-on
252,ihme-gallbladder-and-biliary-tract-cancer,0.0141352848175192,irena-ff-gen-on
253,wdi2-SP.POP.1564.MA.ZS,0.0262146802489551,irena-ff-gen-on
254,ihme-psoriasis,0.0393278809079629,irena-ff-gen-on
255,ihme-alzheimer's-disease-and-other-dementias,0.0104351679978485,irena-ff-gen-on
256,wdi2-SE.PRM.TCAQ.ZS,0.0051441587339904,irena-ff-gen-on
257,wdi-AG.LND.CROP.ZS,0.009116078798263,irena-ff-gen-on
258,wdi-FX.OWN.TOTL.40.ZS,0.0695597561382111,irena-ff-gen-on
259,wdi2-NY.ADJ.DCO2.GN.ZS,0.0116199184258626,irena-ff-gen-on
4480,itu-fbs1,0.0463639558582968,irena-sp-cap-on
4481,wdi-BX.TRF.PWKR.CD.DT,0.2186372341126629,irena-sp-cap-on
4482,paris-162,0.1798032319392609,irena-sp-cap-on
4483,wdi2-SH.STA.TRAF.P5,0.0659040948627287,irena-sp-cap-on
4484,irena-rmw-cap-on,0.0681866126619363,irena-sp-cap-on
4485,blasiak-index-85-50,0.0426452340006741,irena-sp-cap-on
4486,wdi-IC.CRD.INFO.XQ,0.0783231924892969,irena-sp-cap-on
4487,unicef-ah10,0.0906755405569293,irena-sp-cap-on
