,feature indicator,feature importance,predicted indicator
18980,wdi2-SH.STA.WAST.ZS,0.0123626012740303,unicef-d1
18981,key-wdi2-SP.POP.TOTL,0.8255858156495371,unicef-d1
18982,wdi2-SP.POP.80UP.MA.5Y,0.0027047299159658,unicef-d1
18983,wdi2-TM.VAL.ICTG.ZS.UN,0.0310369770997193,unicef-d1
18984,wdi2-SH.IMM.MEAS,0.0047057883609958,unicef-d1
18985,wdi2-SL.EMP.1524.SP.MA.ZS,0.0045183342134213,unicef-d1
18986,wdi2-NY.TRF.NCTR.CD,0.0305468970459626,unicef-d1
18987,ndgain-id_ecos_05-score,0.0175568238926579,unicef-d1
18988,unicef-cm18,0.066674627427771,unicef-d1
18989,ihme-other-mental-disorders,0.0043074051199386,unicef-d1
18990,unicef-mnh1,0.0822599654922489,unicef-d11
18991,ssi-5,0.1087978680784579,unicef-d11
18992,wdi2-NV.IND.TOTL.KD,0.0202336630354871,unicef-d11
18993,ldc-U5M-Index,0.0267535754664862,unicef-d11
18994,unicef-ch3,0.0217294814083007,unicef-d11
18995,egov-epi,0.0297552442577903,unicef-d11
18996,wdi2-VC.IDP.NWCV,0.0162308193129314,unicef-d11
18997,unicef-d12,0.6664402877626083,unicef-d11
18998,epi-PBD,0.0153541748197487,unicef-d11
18999,ohi-index-future,0.0124449203659399,unicef-d11
19000,unicef-ch11,0.032096264461697,unicef-d12
19001,ldc-AFF-Value,0.0788534795579129,unicef-d12
19002,wdi2-SP.POP.7579.FE.5Y,0.056546064384966,unicef-d12
19003,egov-egi,0.0806957268444627,unicef-d12
19004,itu-gci-legal,0.0274454347892091,unicef-d12
19005,wdi2-SP.POP.5559.FE.5Y,0.1131880203245591,unicef-d12
19006,wdi2-SP.POP.1519.MA.5Y,0.1214504515229309,unicef-d12
19007,ssi-20,0.0236595948370944,unicef-d12
19008,ssi-19,0.3273721345236954,unicef-d12
19009,wdi-HD.HCI.OVRL.UB,0.138692828753472,unicef-d12
19010,ldc-EVI,0.0283423855969054,unicef-d13
19011,unicef-a2,0.1297452714864714,unicef-d13
19012,epi-NXA,0.1044026863665668,unicef-d13
19013,ssi-5,0.0708570006931364,unicef-d13
19014,unicef-d7,0.1316528173603491,unicef-d13
19015,wdi2-NE.CON.PRVT.KD,0.0309340026632205,unicef-d13
19016,ohi-lsp-resilience,0.1824978847739477,unicef-d13
19017,ssi-8,0.2314733374044568,unicef-d13
19018,ssi-bn,0.0359701722343542,unicef-d13
19019,ldc-STU-Index,0.0541244414205912,unicef-d13
19020,ldc-GPIS-Value,0.0828573526633267,unicef-d14
19021,wdi2-NE.GDI.FTOT.ZS,0.0698639748448394,unicef-d14
19022,mvi-ldc-AFF-Index,0.0982556316212232,unicef-d14
19023,irena-owe-cap-on,0.070909601664024,unicef-d14
19024,ohi-sp-score,0.1451030327788595,unicef-d14
19025,key-mvi-ldc-LECZ-Index,0.0848897621523674,unicef-d14
19026,wdi2-NE.CON.TOTL.KN,0.0612903498400149,unicef-d14
19027,itu-fbb,0.0758882971907675,unicef-d14
19028,wdi2-SP.POP.65UP.FE.IN,0.1055146991601341,unicef-d14
19029,wdi2-NY.GDP.PCAP.KD,0.2054272980844428,unicef-d14
19030,ohi-ico-trend,0.0312034804555504,unicef-a2
19031,wdi2-NY.GDP.MKTP.PP.CD,0.026691909058445,unicef-a2
19032,hdr-47906,0.2898638985063696,unicef-a2
19033,key-egov-tii,0.0896485932935871,unicef-a2
19034,egov-egi,0.1001490637118409,unicef-a2
19035,unicef-wash3,0.0594911222187031,unicef-a2
19036,ohi-fis-trend,0.0227962282859063,unicef-a2
19037,wdi2-MS.MIL.MPRT.KD,0.0166546215077821,unicef-a2
19038,wdi-HD.HCI.OVRL.LB,0.2739841604444413,unicef-a2
19039,itu-hch,0.0895169225173738,unicef-a2
19040,wdi2-NV.IND.MANF.KN,0.0604361676254648,unicef-m3
19041,wdi2-NY.GNP.PCAP.PP.CD,0.2123220432621751,unicef-m3
19042,wdi2-SP.POP.2529.MA.5Y,0.0674925277322757,unicef-m3
19043,ssi-13,0.0525116520880169,unicef-m3
19044,unicef-mnh16,0.1138502616853801,unicef-m3
19045,itu-fbs1,0.1807454579654615,unicef-m3
19046,ohi-fis-resilience,0.1319101400397153,unicef-m3
19047,ssi-20,0.084795884906361,unicef-m3
19048,ohi-eco-future,0.0421452494640362,unicef-m3
19049,wdi2-NE.CON.TOTL.CD,0.0537906152311131,unicef-m3
19360,wdi2-SE.SEC.TCAQ.UP.ZS,0.0268275640287435,unicef-d2
19361,ihme-varicella-and-herpes-zoster,0.0165419222088514,unicef-d2
19362,wdi-BN.TRF.CURR.CD,0.1752919615299329,unicef-d2
19363,ohi-cw-resilience,0.0419642321390899,unicef-d2
19364,wdi-DT.NFL.DPNG.CD,0.061785998157411,unicef-d2
19365,wdi-IQ.CPA.ENVR.XQ,0.0358000558760911,unicef-d2
19366,wdi2-TX.UVI.MRCH.XD.WD,0.1409242622139433,unicef-d2
19367,paris-17,0.0233469774637589,unicef-d2
19368,wdi-BG.GSR.NFSV.GD.ZS,0.0516781902182745,unicef-d2
19369,wdi-DC.DAC.CECL.CD,0.425838836163903,unicef-d2
19370,itu-gci-coop,0.0446473524722457,unicef-m1
19371,itu-gci-rank,0.0433846784979315,unicef-m1
19372,itu-fbt,0.0838162256578982,unicef-m1
19373,ohi-mar-score,0.1390226137353346,unicef-m1
19374,key-egov-epi,0.100691076676825,unicef-m1
19375,wdi2-SP.POP.5054.MA.5Y,0.026740450757848,unicef-m1
19376,unicef-mnh16,0.1658979966333946,unicef-m1
19377,wdi2-TM.VAL.MRCH.CD.WT,0.2452722275476895,unicef-m1
19378,irena-me-cap-on,0.0342054127586268,unicef-m1
19379,egov-epi,0.1163219652622056,unicef-m1
19420,ssi-1,0.1296655420252924,unicef-a1
19421,irena-sp-cap-off,0.0397094591687212,unicef-a1
19422,wdi2-NY.GDY.TOTL.KN,0.157347428740865,unicef-a1
19423,unicef-m11,0.0877694203710721,unicef-a1
19424,wdi2-NE.GDI.FTOT.ZS,0.05056196062182,unicef-a1
19425,unicef-wash2,0.0173400942140435,unicef-a1
19426,wdi2-NE.CON.GOVT.CD,0.093586390404116,unicef-a1
19427,unicef-m7,0.0981103592375566,unicef-a1
