,feature indicator,feature importance,predicted indicator
20170,wdi2-ST.INT.TRNX.CD,0.0755916821648821,igrac-twap_ind_sids_mannualgwrechargedepth
20171,wdi2-SE.SEC.DURS,0.1040556059267162,igrac-twap_ind_sids_mannualgwrechargedepth
20172,wdi2-SP.POP.0509.FE.5Y,0.1257730119353268,igrac-twap_ind_sids_mannualgwrechargedepth
20173,irena-mr-inv-all,0.1109882289833847,igrac-twap_ind_sids_mannualgwrechargedepth
20174,wdi-BN.CAB.XOKA.CD,0.0363980524657121,igrac-twap_ind_sids_mannualgwrechargedepth
20175,wdi-EN.ATM.GHGT.ZG,0.1133067447792921,igrac-twap_ind_sids_mannualgwrechargedepth
20176,wdi2-SL.UEM.ADVN.FE.ZS,0.0536126442783149,igrac-twap_ind_sids_mannualgwrechargedepth
20177,wdi2-SH.STA.BASS.ZS,0.1482789695642075,igrac-twap_ind_sids_mannualgwrechargedepth
20178,wdi2-SP.POP.6569.MA.5Y,0.1356010619300819,igrac-twap_ind_sids_mannualgwrechargedepth
20179,wdi2-SH.XPD.OOPC.PP.CD,0.0963939979720813,igrac-twap_ind_sids_mannualgwrechargedepth
20180,wdi2-SL.EMP.1524.SP.FE.NE.ZS,0.0700657925603315,igrac-twap_ind_sids_mannualrenewablegwpercap
20181,wdi2-SE.SEC.ENRR,0.1072865027172713,igrac-twap_ind_sids_mannualrenewablegwpercap
20182,wdi-IC.FRM.CMPU.ZS,0.1170799404450199,igrac-twap_ind_sids_mannualrenewablegwpercap
20183,wdi2-TM.VAL.MRCH.OR.ZS,0.0689171262113713,igrac-twap_ind_sids_mannualrenewablegwpercap
20184,wdi2-SL.TLF.ACTI.FE.ZS,0.2479928449148746,igrac-twap_ind_sids_mannualrenewablegwpercap
20185,wdi2-MS.MIL.MPRT.KD,0.0783314473229073,igrac-twap_ind_sids_mannualrenewablegwpercap
20186,wdi2-SP.POP.4549.FE.5Y,0.0449241892048039,igrac-twap_ind_sids_mannualrenewablegwpercap
20187,epi-HAD,0.1116278111009407,igrac-twap_ind_sids_mannualrenewablegwpercap
20188,wdi2-SE.PRM.ENRL.TC.ZS,0.049993412644759,igrac-twap_ind_sids_mannualrenewablegwpercap
20189,wdi2-TM.TAX.MANF.BC.ZS,0.1037809328777199,igrac-twap_ind_sids_mannualrenewablegwpercap
20190,wdi2-NV.FSM.TOTL.KN,0.0657833210161786,igrac-twap_ind_sids_natbackgwquality
20191,wdi2-SL.TLF.ADVN.MA.ZS,0.1138729678783113,igrac-twap_ind_sids_natbackgwquality
20192,igrac-twap_sids_socioeconomic_gwasbtractionagri,0.0321107588975156,igrac-twap_ind_sids_natbackgwquality
20193,wdi-IQ.CPA.PROT.XQ,0.0700565205627976,igrac-twap_ind_sids_natbackgwquality
20194,wdi2-SE.PRM.ENRR,0.1700478880544005,igrac-twap_ind_sids_natbackgwquality
20195,paris-59,0.1328347750506285,igrac-twap_ind_sids_natbackgwquality
20196,igrac-twap_sids_socioeconomic_totalpopulationisland2010,0.0753370167660965,igrac-twap_ind_sids_natbackgwquality
20197,igrac-twap_sids_hydrogeological_horizontalext,0.093518254910412,igrac-twap_ind_sids_natbackgwquality
20198,ihme-neonatal-disorders,0.0681765603908746,igrac-twap_ind_sids_natbackgwquality
20199,epi-WRS,0.1782619364727843,igrac-twap_ind_sids_natbackgwquality
20200,igrac-twap_sids_hydrogeological_transmissivity,0.4410767885574753,igrac-twap_ind_sids_aqbuffcapacity
20201,epi-ECO,0.0380483053078913,igrac-twap_ind_sids_aqbuffcapacity
20202,wdi-FB.CBK.DPTR.P3,0.0332337887272932,igrac-twap_ind_sids_aqbuffcapacity
20203,ndgain-id_gove_03-raw,0.0588470806149674,igrac-twap_ind_sids_aqbuffcapacity
20204,wdi-IQ.CPA.PUBS.XQ,0.0626322692967821,igrac-twap_ind_sids_aqbuffcapacity
20205,hdr-101806,0.0479880150281787,igrac-twap_ind_sids_aqbuffcapacity
20206,key-wdi2-SP.POP.TOTL,0.0573970756846817,igrac-twap_ind_sids_aqbuffcapacity
20207,hdr-174306,0.0442005004006331,igrac-twap_ind_sids_aqbuffcapacity
20208,igrac-twap_sids_hydrogeological_avgannrechargemmyr,0.1843364958045601,igrac-twap_ind_sids_aqbuffcapacity
20209,wdi-FR.INR.LEND,0.0322396805775366,igrac-twap_ind_sids_aqbuffcapacity
20210,wdi2-NE.GDI.TOTL.CN,0.0,igrac-twap_ind_sids_aqvulnerabilityclimchange
20211,ihme-diphtheria,0.0,igrac-twap_ind_sids_aqvulnerabilityclimchange
20212,ihme-foreign-body,0.0,igrac-twap_ind_sids_aqvulnerabilityclimchange
20213,irena-mr-inv-all,0.0,igrac-twap_ind_sids_aqvulnerabilityclimchange
20214,wdi2-NY.GDP.FCST.CD,0.0,igrac-twap_ind_sids_aqvulnerabilityclimchange
20215,paris-90,0.0,igrac-twap_ind_sids_aqvulnerabilityclimchange
20216,hdr-89006,0.0,igrac-twap_ind_sids_aqvulnerabilityclimchange
20217,wdi2-SH.DTH.MORT,0.0,igrac-twap_ind_sids_aqvulnerabilityclimchange
20218,unicef-a8,0.0,igrac-twap_ind_sids_aqvulnerabilityclimchange
20219,irena-be-inv-all,0.0,igrac-twap_ind_sids_aqvulnerabilityclimchange
20220,wdi-DC.DAC.IRLL.CD,0.0701066345737453,igrac-twap_ind_sids_aqvulnerabilitypollution
20221,wdi-GC.XPN.GSRV.ZS,0.0008987853731923,igrac-twap_ind_sids_aqvulnerabilitypollution
20222,wdi-IQ.CPA.PRES.XQ,0.0004677926307572,igrac-twap_ind_sids_aqvulnerabilitypollution
20223,ihme-maternal-disorders,0.0005592328652494,igrac-twap_ind_sids_aqvulnerabilitypollution
20224,wdi-IC.REG.PROC.FE,0.0003956648831255,igrac-twap_ind_sids_aqvulnerabilitypollution
20225,hdr-175606,0.0002665621653594,igrac-twap_ind_sids_aqvulnerabilitypollution
20226,irena-rh-inv-all,0.0027912038560313,igrac-twap_ind_sids_aqvulnerabilitypollution
20227,wdi2-MS.MIL.XPND.CD,0.0042960037583263,igrac-twap_ind_sids_aqvulnerabilitypollution
20228,ihme-inflammatory-bowel-disease,0.0008945245041875,igrac-twap_ind_sids_aqvulnerabilitypollution
