,feature indicator,feature importance,predicted indicator
19506,wdi2-NE.CON.PRVT.CN,0.079649181792566,ssi-9
19507,ohi-bd-score,0.0445080779403419,ssi-9
19508,ohi-fis-resilience,0.3467509809370482,ssi-9
19509,itu-gci-score,0.060669915428434,ssi-9
19510,ssi-17,0.1810342289712331,ssi-14
19511,wdi2-NY.GNP.PCAP.KD.ZG,0.0677861458092937,ssi-14
19512,key-egov-osi,0.1044700525677968,ssi-14
19513,epi-GHP,0.1200177725721646,ssi-14
19514,ohi-tr-pressures,0.0594648839757767,ssi-14
19515,wdi2-NV.IND.MANF.KD,0.1103928427304626,ssi-14
19516,ohi-tr-future,0.1464654304748303,ssi-14
19517,unicef-m11,0.0939126771942647,ssi-14
19518,wdi-IT.NET.SECR,0.051093020555015,ssi-14
19519,wdi-HD.HCI.OVRL.LB.MA,0.0653629451491621,ssi-14
19520,unicef-wash4,0.1493255705590871,ssi-19
19521,ssi-ssi,0.0700738268776698,ssi-19
19522,unicef-mnh1,0.032358816493729,ssi-19
19523,unicef-mnh16,0.0334841765348833,ssi-19
19524,wdi2-NE.RSB.GNFS.CN,0.0127768481966176,ssi-19
19525,wdi-FR.INR.LNDP,0.0203209886660804,ssi-19
19526,unicef-d6,0.0135013034864356,ssi-19
19527,egov-egr,0.1306235635361629,ssi-19
19528,wdi-HD.HCI.OVRL,0.2091622599102887,ssi-19
19529,unicef-d12,0.3283726457390453,ssi-19
19910,wdi2-NY.GNP.PCAP.CN,0.0217342888712932,ssi-bn
19911,wdi2-SP.POP.65UP.MA.ZS,0.0796458463219603,ssi-bn
19912,unicef-d12,0.1908209574965868,ssi-bn
19913,itu-gci-rank,0.0669522640757394,ssi-bn
19914,wdi2-SE.SEC.AGES,0.1013024709902235,ssi-bn
19915,unicef-d7,0.1849267049828439,ssi-bn
19916,wdi2-NY.GDP.DEFL.ZS.AD,0.02357243612756,ssi-bn
19917,key-wdi2-NY.GDP.PCAP.CD,0.1953505760894748,ssi-bn
19918,egov-osi,0.0507909859113926,ssi-bn
19919,wdi2-SP.POP.6064.MA.5Y,0.084903469132925,ssi-bn
20040,key-egov-egi,0.0920970235358812,ssi-2
20041,ohi-cw-pressures,0.0953615777159343,ssi-2
20042,wdi2-SP.POP.1564.TO.ZS,0.0680182235875417,ssi-2
20043,epi-NXA,0.0328643258205821,ssi-2
20044,ssi-1,0.1555418923930672,ssi-2
20045,unicef-m12,0.2300217415083696,ssi-2
20046,wdi-HD.HCI.OVRL.MA,0.0728379019473884,ssi-2
20047,wdi-HD.HCI.OVRL.LB.FE,0.1070458019939863,ssi-2
20048,wdi-HD.HCI.OVRL.FE,0.0737839588236809,ssi-2
20049,unicef-mnh16,0.072427552673568,ssi-2
20050,unicef-ncwh3,0.1516671985370497,ssi-3
20051,unicef-wash7,0.0834492411480092,ssi-3
20052,key-egov-osi,0.0192342796606647,ssi-3
20053,unicef-d12,0.0806041527325658,ssi-3
20054,wdi2-SP.POP.5559.MA.5Y,0.014756841492948,ssi-3
20055,unicef-m10,0.0389645886081714,ssi-3
20056,unicef-d13,0.0208058578739121,ssi-3
20057,unicef-wash4,0.5622182189673908,ssi-3
20058,unicef-a1,0.0050359276030081,ssi-3
20059,ssi-nr,0.0232636933762799,ssi-3
20940,ldc-STU-Index,0.053980249838252,ssi-5
20941,key-egov-epi,0.0700847352679637,ssi-5
20942,unicef-wash4,0.1722780931457495,ssi-5
20943,ldc-XCON-Value,0.053838770151406,ssi-5
20944,unicef-wash6,0.2132329125004849,ssi-5
20945,egov-egr,0.1292390537548396,ssi-5
20946,epi-NDA,0.0423692691385945,ssi-5
